id,epsilon,q_table
71,0.29,-30.28  -29.63  -25.01
72,0.45,-19.32  -15.76  -16.75
73,0.37,-27.83  -26.26  -36.03
74,0.63,-21.03  -21.87  -9.36
75,0.61,-11.26  -20.98  -18.28
76,0.31,-21.48  -21.80  -19.25
77,0.50,-17.80  -25.56  -28.68
78,0.46,-14.31  -18.86  -16.87
79,0.68,-37.58  -22.32  -29.70
80,0.61,-27.79  -12.07  -14.94
81,0.63,-20.63  -26.47  -16.82
82,0.48,-22.81  -26.46  -23.65
83,0.48,-23.82  -28.20  -32.36
84,0.39,-23.69  -18.37  -22.39
85,0.39,-15.18  -17.84  -14.64
86,0.72,-21.81  -19.28  -27.09
87,0.55,-27.22  -17.84  -16.73
88,0.37,-18.96  -15.93  -15.00
89,0.53,-19.70  -28.93  -26.23
90,0.55,-34.33  -33.10  -40.74
91,0.44,-15.32  -18.30  -17.60
92,0.63,-30.56  -22.98  -36.78
93,0.32,-35.44  -27.14  -30.06
94,0.43,-26.58  -36.65  -27.45
95,0.28,-19.40  -21.09  -17.36
96,0.53,-21.79  -25.41  -31.00
97,0.36,-13.85  -19.63  -16.96
98,0.49,-35.12  -30.09  -32.98
99,0.31,-22.93  -21.20  -26.97
100,0.44,-23.31  -26.08  -28.15
101,0.64,-22.45  -26.13  -21.22
102,0.36,-30.10  -38.90  -30.41
103,0.46,-23.38  -24.82  -23.34
104,0.58,0.00  -36.70  -28.47
105,0.57,-31.97  -19.15  -23.91
106,0.47,-30.76  -37.68  -23.12
107,0.65,-23.67  -20.57  -27.71
108,0.53,-18.99  -11.02  -24.35
109,0.36,-18.84  -23.67  -17.73
110,0.43,-28.85  -23.83  -31.40
111,0.79,-34.23  -15.93  -19.93
112,0.56,-22.29  -24.70  -36.69
113,0.56,-22.33  -20.35  -13.90
114,0.39,-26.48  -21.03  -31.84
115,0.74,-19.57  -10.04  -25.75
116,0.44,-30.50  -27.60  -39.06
117,0.68,-13.98  -27.26  -23.00
118,0.84,-33.17  -32.44  -34.44
119,0.35,-21.94  -25.58  -18.94
120,0.75,-20.36  -31.86  -35.62
121,0.38,-22.28  -32.34  -20.49
122,0.66,-28.07  -24.24  -19.86
123,0.43,-22.10  -10.40  -21.24
124,0.48,-19.40  -20.03  -28.48
125,0.52,-13.70  -30.81  -16.87
126,0.53,-29.31  -21.03  -25.23
127,0.36,-23.97  -23.13  -21.03
128,0.36,-19.02  -15.79  -21.30
129,0.38,-28.03  -15.70  -27.56
130,0.63,-16.36  -24.79  -20.35
131,0.51,-16.72  -18.94  -17.82
132,0.51,-28.81  -37.11  -35.23
133,0.41,-13.41  -28.18  -19.67
134,0.69,-38.11  -15.81  -15.92
135,0.65,-18.71  -19.49  -22.67
136,0.42,-33.97  -31.19  -33.18
137,0.58,-33.81  -24.12  -28.48
138,0.70,-24.94  -29.55  -29.94
139,0.69,-22.04  -29.21  -32.33
140,0.54,-20.19  -17.71  -17.69
141,0.53,-26.63  -23.78  -19.10
142,0.57,-25.85  -27.56  -34.40
143,0.82,-31.63  -31.98  -10.14
144,0.58,-28.51  -27.76  -27.76
145,0.46,-24.47  -28.36  -19.16
146,0.45,-29.64  -29.26  -27.18
147,0.70,-13.48  -21.87  -16.04
148,0.54,-32.51  -32.79  -31.67
149,0.53,-12.62  -10.70  -26.54
150,0.47,-23.11  -19.39  -17.82
151,0.55,-30.95  -34.71  -30.02
152,0.49,-30.79  -20.24  -24.35
153,0.51,-23.85  -15.71  -25.83
154,0.36,-25.07  -17.41  -24.04
155,0.39,-21.37  -20.55  -19.41
156,0.56,-25.75  -30.11  -27.26
157,0.53,-26.77  -32.41  -22.20
158,0.33,-26.76  -20.78  -22.18
159,0.34,-25.45  -21.10  -22.36
160,0.63,-21.62  -29.01  -27.15
161,0.64,-26.36  -24.74  -22.77
162,0.33,-22.34  -24.46  -25.63
163,0.43,-32.65  -32.11  -24.80
164,0.40,-23.13  -20.53  -29.68
165,0.42,-22.61  -30.59  -5.64
166,0.58,-34.92  -28.12  -15.32
167,0.43,-26.10  -30.72  -23.83
168,0.51,-36.74  -23.43  -32.74
169,0.68,-18.99  -10.33  -35.45
170,0.75,-29.76  -23.78  -30.87
171,0.40,-10.41  -25.51  -22.07
172,0.45,-23.42  -19.36  -20.39
173,0.47,-34.57  -28.17  -33.10
174,0.31,-13.05  -17.70  -23.75
175,0.38,-23.17  -21.32  -24.67
176,0.45,-20.88  -15.11  -18.47
177,0.40,-32.73  -29.59  -32.87
178,0.41,-27.23  -28.88  -18.36
179,0.52,-15.87  -26.19  -38.72
180,0.71,-26.13  -23.46  -28.53
181,0.73,-38.81  -27.02  -27.39
182,0.65,-20.61  -21.28  -27.30
183,0.42,-20.52  -15.75  -19.66
184,0.66,-22.69  -18.62  -18.64
185,0.57,-25.31  -27.03  -25.14
186,0.45,-17.09  -17.88  -29.54
187,0.61,-18.56  -28.28  -29.38
188,0.59,-16.22  -27.13  -16.92
189,0.56,-27.98  -27.80  -24.56
190,0.75,-24.11  -26.83  -23.83
191,0.39,-25.65  -20.78  -20.37
192,0.51,-27.10  -29.18  -18.33
193,0.40,-34.51  -20.12  -24.43
194,0.63,-28.75  -31.59  -28.21
195,0.33,-17.32  -18.89  -17.84
196,0.35,-31.77  -28.91  -35.39
197,0.44,-20.63  -28.42  -21.22
198,0.36,-15.08  -18.57  -21.35
199,0.56,-27.60  -26.47  -25.28
200,0.50,-30.84  -25.24  -27.57
201,0.65,-33.03  -12.36  -20.42
202,0.60,-20.93  -31.47  -21.28
203,0.56,-22.52  -22.67  -33.07
204,0.45,-21.25  -20.01  -16.38
205,0.51,-23.25  -22.19  -25.58
206,0.79,-26.37  -18.75  -29.57
207,0.56,-25.03  -24.61  -27.80
208,0.46,-28.08  -29.71  -21.35
209,0.62,-22.02  -27.63  -17.26
210,0.40,-31.98  -19.87  -16.82
211,0.74,-27.36  -14.14  -34.55
212,0.52,-26.57  -26.44  -29.20
213,0.64,-25.38  -28.70  -17.30
214,0.53,-24.14  -21.85  -15.87
215,0.85,-25.61  -23.38  -31.50
216,0.41,-16.72  -20.50  -22.30
217,0.43,-19.42  -24.10  -21.24
218,0.52,-20.85  -23.80  -21.13
219,0.43,-27.01  -28.92  -27.28
220,0.67,-40.56  -26.40  -22.52
221,0.72,-25.30  -29.70  -18.79
222,0.39,-25.62  -19.56  -23.06
223,0.73,-16.23  -34.69  -20.33
224,0.65,-20.61  -36.00  -14.74
225,0.52,-29.18  -27.79  -26.43
226,0.39,-32.03  -24.13  -24.54
227,0.48,-26.78  -24.02  -34.40
228,0.63,-30.46  -25.11  -32.14
229,0.28,-24.71  -27.81  -28.24
230,0.43,-34.84  -31.67  -32.65
231,0.39,-29.21  -25.42  -24.18
232,0.34,-24.31  -18.95  -27.13
233,0.59,-18.53  -19.53  -21.91
234,0.64,-25.24  -36.39  -28.11
235,0.50,-30.48  -32.51  -33.21
236,0.45,-17.55  -22.30  -26.47
237,0.43,-19.13  -5.77  -26.00
238,0.45,-17.21  -20.11  -18.57
239,0.62,-31.42  -25.01  -20.44
240,0.38,-23.71  -23.96  -21.96
241,0.81,-18.26  -36.82  -32.28
242,0.63,-25.85  -31.26  -29.12
243,0.69,-31.30  -18.95  -17.89
244,0.60,-24.61  -19.93  -30.59
245,0.60,-28.87  -36.08  -19.03
246,0.58,-23.36  -24.76  -30.99
247,0.69,-26.01  -32.85  -14.32
248,0.86,-22.62  -25.09  -22.88
249,0.50,-22.15  -23.71  -20.23
250,0.64,-27.77  -23.99  -18.65
251,0.65,-24.85  -26.47  -21.00
252,0.42,-24.96  -25.20  -30.46
253,0.49,-26.42  -26.78  -26.95
254,0.49,-31.33  -23.87  -29.03
255,0.34,-32.02  -22.73  -21.43
256,0.49,-21.76  -15.46  -15.90
257,0.43,-17.39  -26.54  -27.02
258,0.39,-26.24  -18.03  -19.68
259,0.39,-26.21  -30.14  -24.31
260,0.41,-22.63  -25.64  -31.52
261,0.40,-18.89  -23.14  -29.09
262,0.51,-29.01  -24.00  -26.08
263,0.38,-25.17  -35.09  -29.38
264,0.79,-12.19  -17.87  -26.77
265,0.64,-30.44  -22.50  -25.68
266,0.49,-27.67  -31.07  -28.76
267,0.31,-32.00  -26.04  -26.38
268,0.69,-21.62  -22.07  -17.03
269,0.54,-23.50  -33.12  -29.24
270,0.48,-21.17  -25.47  -26.05
271,0.46,-17.55  -16.74  -19.89
272,0.49,-24.85  -10.21  -18.60
273,0.59,-33.85  -21.31  -23.79
274,0.48,-28.57  -27.71  -35.04
275,0.43,-26.42  -22.28  -23.53
276,0.45,-18.86  -20.25  -16.37
277,0.33,-15.66  -23.61  -22.14
278,0.37,-16.70  -17.00  -15.07
279,0.68,-27.44  -25.53  -21.61
280,0.52,-25.59  -35.72  -25.95
281,0.57,-23.28  -24.36  -25.23
282,0.37,-25.91  -27.95  -31.03
283,0.41,-32.02  -36.50  -25.46
284,0.49,-18.88  -18.10  -21.67
285,0.80,-38.80  -23.22  -27.98
286,0.71,-13.16  -19.23  -25.72
287,0.50,-24.04  -27.62  -27.54
288,0.68,-16.49  -27.45  -26.69
289,0.39,-27.73  -26.45  -24.87
290,0.40,-20.48  -22.94  -17.98
291,0.59,-23.12  -25.21  -9.46
292,0.37,-32.19  -29.99  -31.23
293,0.62,-19.64  -13.92  -20.50
294,0.35,-28.93  -29.82  -28.32
295,0.50,-24.51  -24.44  -17.27
296,0.29,-30.09  -32.82  -33.43
297,0.50,-20.04  -10.26  -20.46
298,0.38,-27.86  -33.67  -27.64
299,0.39,-27.20  -27.75  -24.26
300,0.41,-26.11  -29.50  -27.24
301,0.41,-18.62  -34.59  -35.18
302,0.42,-22.80  -23.55  -25.16
303,0.31,-25.68  -21.72  -24.35
304,0.56,-23.69  -25.48  -21.21
305,0.48,-23.47  -20.69  -20.70
306,0.60,-26.24  -25.01  -31.65
307,0.34,-21.26  -23.07  -20.89
308,0.37,-21.71  -30.63  -23.66
309,0.45,-14.09  -14.89  -18.58
310,0.81,-38.44  -41.72  -11.88
311,0.68,-40.34  -33.79  -19.36
312,0.85,-10.24  -27.12  -15.92
313,0.46,-15.29  -25.37  -27.44
314,0.79,-24.19  -34.99  -21.40
315,0.49,-17.41  -19.86  -14.47
316,0.48,-34.66  -31.76  -20.67
317,0.59,-36.29  -35.06  0.00
318,0.47,-13.48  -16.26  -34.91
319,0.37,-24.94  -19.54  -19.15
320,0.42,-16.86  -22.80  -22.45
321,0.38,-31.32  -26.33  -26.77
322,0.42,-18.96  -15.84  -21.03
323,0.77,-23.93  -27.31  -29.36
324,0.47,-25.12  -15.20  -17.13
325,0.40,-28.40  -18.46  -16.08
326,0.78,-29.49  -10.41  -18.20
327,0.43,-21.00  -20.50  -16.20
328,0.77,-14.47  -14.87  -30.51
329,0.63,-25.73  -29.51  -26.96
330,0.77,-13.25  -22.99  -17.22
331,0.36,-28.99  -18.95  -32.72
332,0.68,-28.77  -40.21  -33.30
333,0.62,-31.96  -22.66  -24.23
334,0.52,-22.57  -19.98  -17.49
335,0.36,-13.35  -20.74  -15.75
336,0.57,-15.25  -19.46  -21.05
337,0.60,-27.15  -13.67  -22.61
338,0.33,-20.31  -15.34  -22.21
339,0.31,-21.23  -19.86  -16.46
340,0.57,-28.46  -24.03  -19.25
341,0.78,-25.25  -22.49  -19.97
342,0.60,-30.77  -23.80  -23.69
343,0.68,-39.50  -23.55  -29.52
344,0.32,-22.67  -11.68  -21.80
345,0.52,-33.12  -25.76  -28.57
346,0.65,-11.03  -23.08  -18.74
347,0.51,-30.91  -22.08  -24.62
348,0.65,-24.50  -27.49  -21.13
349,0.49,-25.21  -17.59  -18.53
350,0.63,-17.40  -21.37  -16.80
351,0.74,-25.32  -23.61  -33.41
352,0.77,-20.47  -34.30  -15.33
353,0.77,-18.77  -15.66  -22.32
354,0.53,-27.44  -25.13  -15.32
355,0.46,-18.68  -21.34  -19.72
356,0.59,-32.56  -30.57  -33.90
357,0.37,-18.12  -19.28  -36.57
358,0.55,-33.88  -40.30  -35.19
359,0.43,-29.98  -33.26  -35.80
360,0.36,-31.30  -25.56  -21.47
361,0.55,-28.17  -26.32  -27.42
362,0.36,-27.82  -27.73  -23.46
363,0.41,-23.92  -26.18  -31.74
364,0.69,-21.22  -18.05  -20.53
365,0.43,-24.90  -21.47  -27.30
366,0.41,-22.45  -26.03  -27.41
367,0.57,-27.60  -22.80  -20.58
368,0.42,-32.25  -23.66  -23.32
369,0.45,-19.39  -24.95  -22.59
370,0.68,-24.58  -16.65  -14.28
371,0.68,-11.33  -30.36  -33.96
372,0.39,-26.92  -25.38  -30.61
373,0.35,-31.97  -27.39  -29.07
374,0.40,-26.91  -26.41  -22.36
375,0.54,-16.98  -17.76  -19.48
376,0.63,-22.55  -29.71  -19.40
377,0.54,-24.53  -24.63  -24.03
378,0.78,-23.78  -24.42  -17.00
379,0.35,-23.30  -26.02  -22.71
380,0.36,-19.21  -24.43  -23.53
381,0.68,-24.15  -30.47  -24.00
382,0.57,-21.04  -25.65  -26.72
383,0.50,-20.26  -28.29  -28.77
384,0.39,-25.90  -19.76  -20.86
385,0.39,-20.95  -26.42  -31.38
386,0.54,-27.21  -26.07  -33.63
387,0.48,-27.65  -27.58  -21.44
388,0.63,-34.76  -27.12  -29.31
389,0.48,-23.57  -23.54  -31.88
390,0.33,-20.77  -21.51  -26.29
391,0.47,-20.26  -22.84  -28.18
392,0.73,-20.48  -20.31  -27.67
393,0.51,-15.26  -14.20  -17.91
394,0.67,-17.18  -23.29  -24.99
395,0.82,-23.57  -17.78  -21.68
396,0.57,-34.53  -25.58  -21.08
397,0.35,-22.46  -18.77  -18.92
398,0.68,-19.58  -17.64  -19.11
399,0.46,-19.97  -18.11  -21.79
400,0.64,-27.70  -25.52  -24.72
401,0.42,-25.62  -28.51  -23.42
402,0.72,-30.62  -23.03  -27.12
403,0.73,-16.82  -14.32  -31.25
404,0.55,-16.93  -20.13  -25.15
405,0.34,-24.23  -20.11  -21.54
406,0.35,-29.02  -27.45  -27.18
407,0.70,-30.04  -22.13  -33.13
408,0.81,-23.74  -24.91  -24.93
409,0.39,-27.99  -29.66  -31.61
410,0.53,-19.17  -20.64  -30.66
411,0.34,-23.81  -28.93  -35.11
412,0.62,-32.88  -23.31  -25.14
413,0.57,-18.25  -23.85  -21.22
414,0.33,-18.12  -19.41  -18.32
415,0.48,-32.79  -30.29  -26.50
416,0.60,-29.20  -33.08  -20.16
417,0.64,-15.68  -17.53  -26.61
418,0.56,-39.41  -27.03  -27.63
419,0.35,-21.47  -18.86  -18.06
420,0.61,-24.99  -21.74  -11.64
421,0.38,-22.91  -30.54  -34.39
422,0.38,-23.49  -22.69  -20.93
423,0.58,-13.59  -24.35  -17.81
424,0.67,-21.65  -20.97  -17.46
425,0.57,-10.28  -32.80  -28.75
426,0.74,-35.88  -22.29  -15.20
427,0.61,-23.21  -17.50  -29.09
428,0.37,-16.12  -28.39  -20.02
429,0.40,-25.32  -25.05  -18.08
430,0.50,-27.10  -22.88  -21.33
431,0.33,-32.66  -28.08  -28.85
432,0.61,-32.08  -27.23  -30.65
433,0.30,-34.65  -26.96  -31.53
434,0.72,-27.45  -21.55  -25.54
435,0.82,-15.27  -27.98  -36.08
436,0.49,-20.96  -14.89  -13.28
437,0.79,-32.14  -34.14  -29.64
438,0.43,-30.38  -22.47  -33.00
439,0.32,-16.86  -16.26  -24.21
440,0.42,-26.31  -21.49  -27.99
441,0.35,-28.93  -34.41  -27.11
442,0.59,-32.06  -25.10  -26.19
443,0.35,-17.30  -13.86  -17.77
444,0.46,-21.17  -15.71  -17.92
445,0.32,-30.09  -35.64  -30.70
446,0.31,-27.68  -29.50  -34.16
447,0.67,-23.87  -24.61  -24.64
448,0.57,-22.53  -21.54  -29.88
449,0.63,-33.65  -36.02  -25.51
450,0.54,-27.01  -28.50  -28.99
451,0.54,-29.12  -23.47  -31.34
452,0.32,-29.06  -16.29  -21.97
453,0.47,-18.87  -24.79  -23.01
454,0.46,-22.70  -21.03  -17.74
455,0.45,-14.00  -20.71  -20.40
456,0.35,-26.13  -29.59  -25.23
457,0.52,-37.32  -34.11  -36.63
458,0.49,-19.17  -25.71  -24.53
459,0.73,-31.07  -35.25  -26.03
460,0.82,-22.63  -13.77  -15.17
461,0.33,-23.63  -27.11  -35.96
462,0.40,-19.60  -19.27  -24.01
463,0.87,-34.12  -16.81  -24.08
464,0.47,-17.92  -25.93  -7.05
465,0.62,-26.65  -26.07  -31.34
466,0.55,-24.57  -28.92  -36.90
467,0.68,-30.75  -20.90  -21.05
468,0.56,-12.42  -14.78  -21.24
469,0.68,-25.59  -27.01  -28.36
470,0.56,-25.84  -25.58  -23.10
471,0.66,-24.11  -30.89  -26.87
472,0.37,-26.91  -12.88  -21.93
473,0.59,-29.85  -25.74  -31.13
474,0.61,-14.14  -38.79  -34.90
475,0.63,-33.34  -24.42  -17.53
476,0.59,-20.23  -18.94  -25.07
477,0.62,-28.73  -25.55  -16.63
478,0.37,-29.11  -25.09  -21.12
479,0.46,-22.05  -19.87  -21.45
480,0.57,-13.28  -16.55  -29.82
481,0.54,-6.95  -25.73  -16.81
482,0.61,-12.57  -22.55  -19.65
483,0.40,-17.36  -19.81  -24.23
484,0.70,-13.64  -19.04  -19.51
485,0.49,-30.94  -31.67  -23.74
486,0.75,-30.96  -22.88  -24.99
487,0.68,-16.70  -33.38  -20.33
488,0.76,-27.87  -34.95  -38.60
489,0.72,-27.70  -12.71  -22.26
490,0.43,-30.34  -33.52  -34.75
491,0.71,-36.16  -29.23  -25.82
492,0.36,-24.51  -27.17  -34.86
493,0.44,-22.61  -33.60  -22.16
494,0.43,-26.56  -35.07  -29.98
495,0.34,-27.51  -17.22  -27.15
496,0.74,-16.31  -25.24  -19.47
497,0.35,-21.01  -20.64  -18.60
498,0.66,-23.65  -23.18  -10.09
499,0.77,-25.32  -24.94  -26.54
500,0.52,-24.09  -32.08  -24.57
501,0.65,-22.12  -17.88  -22.62
502,0.39,-14.01  -14.12  -21.65
503,0.51,-22.39  -21.99  -22.64
504,0.50,-23.93  -21.71  -19.36
505,0.45,-16.55  -25.15  -25.35
506,0.59,-23.91  -40.47  -27.19
507,0.53,-17.67  -16.70  -23.09
508,0.53,-26.22  -23.82  -21.11
509,0.55,-21.12  -20.22  -17.36
510,0.39,-27.50  -28.19  -28.40
511,0.51,-13.98  -11.59  -17.98
512,0.43,-30.91  -28.21  -19.49
513,0.39,-16.31  -21.45  -19.12
514,0.41,-25.83  -31.64  -26.16
515,0.52,-26.52  -25.71  -18.76
516,0.64,-31.80  -21.05  -26.20
517,0.40,-27.55  -26.32  -29.42
518,0.40,-26.84  -24.89  -23.21
519,0.79,-19.85  -26.33  -27.35
520,0.68,-33.14  -38.10  -26.45
521,0.52,-27.76  -22.98  -26.70
522,0.49,-22.27  -21.80  -25.31
523,0.64,0.00  -28.68  -23.50
524,0.31,-25.86  -19.51  -26.66
525,0.35,-36.84  -34.72  -35.13
526,0.46,-26.27  -31.52  -24.05
527,0.42,-22.05  -23.22  -31.77
528,0.39,-20.70  -31.00  -24.52
529,0.56,-34.50  -31.69  -33.29
530,0.37,-18.58  -23.14  -19.47
531,0.61,-12.81  -20.50  -19.97
532,0.34,-18.57  -22.80  -18.15
533,0.81,-26.73  -36.17  -29.40
534,0.50,-21.97  -34.94  -27.31
535,0.66,-32.38  -27.16  -25.26
536,0.35,-29.64  -23.33  -21.99
537,0.59,-28.13  -29.66  -36.68
538,0.38,-29.37  -21.32  -29.17
539,0.42,-26.63  -23.80  -29.11
540,0.81,-18.33  -21.12  -23.61
541,0.51,-20.97  -19.35  -11.70
542,0.38,-35.09  -31.74  -31.66
543,0.56,-18.77  -19.56  -20.57
544,0.86,-22.27  -25.72  -18.54
545,0.71,-15.55  -16.33  -17.49
546,0.47,-32.15  -26.48  -33.62
547,0.46,-29.30  -24.11  -23.69
548,0.37,-25.25  -31.54  -30.91
549,0.35,-22.14  -26.57  -23.12
550,0.47,-28.29  -25.75  -20.71
551,0.54,-16.87  -17.67  -20.27
552,0.51,-24.91  -24.09  -24.98
553,0.60,-20.04  -20.47  -19.87
554,0.55,-20.40  -21.85  -20.43
555,0.38,-19.34  -21.99  -18.57
556,0.68,-19.21  -21.27  -24.45
557,0.37,-29.87  -19.67  -23.79
558,0.47,-30.19  -25.87  -26.17
559,0.49,-24.14  -21.03  -27.10
560,0.70,-24.49  -26.75  -24.67
561,0.38,-30.21  -28.53  -32.06
562,0.32,-27.35  -21.28  -32.94
563,0.38,-22.37  -33.55  -30.32
564,0.49,-21.99  -26.33  -25.00
565,0.48,-18.01  -23.95  -22.44
566,0.45,-21.04  -23.98  -20.16
567,0.54,-24.63  -29.05  -11.93
568,0.58,-40.71  -30.15  -28.93
569,0.48,-37.42  -30.94  -25.58
570,0.85,-24.48  -25.84  -20.18
571,0.57,-27.28  -17.70  -22.68
572,0.45,-27.30  -22.21  -19.47
573,0.39,-14.10  -15.99  -19.27
574,0.34,-27.43  -25.43  -19.22
575,0.55,-18.37  -16.33  -23.73
576,0.37,-33.58  -18.19  -19.63
577,0.51,-20.93  -23.56  -21.37
578,0.34,-23.74  -18.94  -18.79
579,0.37,-20.15  -26.69  -23.72
580,0.43,-19.74  -24.83  -21.85
581,0.53,-19.26  -21.24  -18.10
582,0.43,-35.22  -28.09  -18.66
583,0.38,-22.33  -25.68  -23.64
584,0.53,-17.41  -19.32  -21.44
585,0.58,-21.17  -24.35  -29.15
586,0.42,-17.62  -22.39  -18.44
587,0.63,-25.32  -29.04  -11.99
588,0.62,-25.57  -26.93  -32.83
589,0.44,-23.03  -27.79  -24.93
590,0.83,-14.46  -23.07  -26.44
591,0.61,-20.22  -28.14  -29.53
592,0.67,-19.15  -19.68  -13.48
593,0.46,-19.99  -18.42  -14.86
594,0.76,-20.31  -19.78  -11.38
595,0.61,-23.60  -26.04  -20.35
596,0.73,-34.29  -24.30  -16.45
597,0.35,-21.67  -27.97  -24.76
598,0.55,-20.60  -23.01  -18.53
599,0.62,-22.11  -23.48  -27.81
600,0.47,-21.99  -29.32  -14.24
601,0.32,-19.57  -20.68  -18.58
602,0.52,-17.83  -14.18  -14.65
603,0.68,-24.47  -31.45  -29.50
604,0.51,-27.68  -21.40  -18.46
605,0.48,-17.97  -13.49  -20.30
606,0.33,-29.54  -26.65  -22.94
607,0.43,-30.43  -28.77  -25.59
608,0.57,-22.52  -24.03  -15.82
609,0.43,-21.05  -18.26  -21.31
610,0.74,-10.39  -21.33  -13.01
611,0.33,-19.27  -26.68  -22.80
612,0.63,-18.26  -21.81  -18.33
613,0.31,-15.80  -28.31  -24.72
614,0.38,-32.20  -23.03  -26.39
615,0.45,-28.68  -28.90  -33.00
616,0.56,-24.33  -35.00  -27.79
617,0.66,-22.40  -27.24  -31.73
618,0.42,-27.18  -31.81  -30.09
619,0.66,-10.29  -30.77  -12.47
620,0.67,-9.89  -12.65  -25.78
621,0.35,-18.73  -24.06  -14.61
622,0.45,-29.04  -21.38  -21.39
623,0.67,-22.05  -27.54  -34.70
624,0.30,-16.63  -18.19  -16.48
625,0.56,-20.50  -24.67  -18.42
626,0.33,-21.42  -21.14  -17.81
627,0.65,-36.06  -35.35  -28.85
628,0.31,-23.58  -23.24  -27.62
629,0.76,-28.71  -21.32  -30.83
630,0.40,-18.66  -16.09  -21.83
631,0.46,-35.21  -32.58  -32.51
632,0.47,-30.93  -21.20  -20.94
633,0.48,-30.14  -33.08  -29.07
634,0.54,-28.89  -31.74  -25.96
635,0.44,-20.50  -20.41  -24.88
636,0.42,-25.17  -22.41  -11.04
637,0.56,-28.90  -24.29  -32.95
638,0.38,-34.28  -27.31  -29.30
639,0.50,-30.51  -28.56  -29.42
640,0.64,-22.10  -15.83  -26.70
641,0.34,-32.94  -26.09  -29.49
642,0.71,-29.58  -23.70  -16.93
643,0.51,-21.13  -21.98  -27.70
644,0.51,-38.24  -21.80  -31.35
645,0.44,-26.74  -15.67  -23.40
646,0.67,-16.44  -19.28  -25.87
647,0.48,-25.68  -30.33  -18.66
648,0.43,-16.09  -17.32  -22.67
649,0.49,-25.02  -19.93  -34.58
650,0.62,-22.91  -28.26  -30.06
651,0.73,-17.04  -16.94  -21.00
652,0.60,-26.61  -19.06  -25.89
653,0.47,-21.04  -19.11  -21.27
654,0.41,-24.02  -20.25  -19.11
655,0.59,-31.07  -26.34  -20.64
656,0.73,-30.26  -30.78  -25.55
657,0.80,-21.25  -18.75  -29.57
658,0.57,-16.97  -21.95  -20.55
659,0.47,-26.78  -26.49  -33.37
660,0.53,-29.76  -20.35  -14.61
661,0.70,-27.91  -24.37  -29.23
662,0.30,-22.53  -21.93  -23.88
663,0.54,-35.29  -19.97  -17.10
664,0.54,-22.81  -27.43  -24.93
