id,epsilon,q_table
55,0.69,-27.55  -23.48  -28.88
56,0.65,-14.18  -17.32  -6.58
57,0.55,-33.15  -11.48  -25.94
58,0.68,-20.16  -14.01  -16.50
59,0.66,-14.52  -10.78  -19.10
60,0.53,-20.96  -14.26  -12.84
61,0.44,-20.59  -10.91  -17.40
62,0.72,-9.70  -17.57  -13.53
63,0.61,-25.48  -12.46  -32.33
64,0.73,-29.46  -20.61  -21.21
65,0.54,-12.45  -34.87  -21.29
66,0.57,-15.80  -17.33  -33.96
67,0.67,-21.57  -10.16  -17.92
68,0.68,-16.39  -15.88  -12.93
69,0.67,-28.96  -19.11  -25.60
70,0.44,-24.49  -18.55  -17.35
71,0.40,-25.01  -29.63  -26.67
72,0.56,-13.57  -15.76  -8.32
73,0.49,-31.50  -23.79  -31.66
74,0.71,-17.96  -8.92  -9.36
75,0.65,-7.53  -13.61  -16.74
76,0.42,-12.76  -13.18  -19.25
77,0.61,-8.59  -25.56  -22.54
78,0.54,-9.60  -13.98  -12.78
79,0.74,-29.31  -22.32  -15.44
80,0.69,-30.69  -6.93  -11.65
81,0.70,-13.80  -21.92  -12.38
82,0.58,-22.81  -14.72  -14.18
83,0.61,-23.82  -23.49  -23.63
84,0.53,-12.98  -13.60  -22.39
85,0.50,-8.77  -15.76  -10.79
86,0.80,-19.67  -13.22  -27.09
87,0.66,-15.39  -17.84  -10.70
88,0.50,-17.39  -5.91  -15.00
89,0.64,-11.36  -28.93  -21.01
90,0.63,-34.33  -18.80  -33.02
91,0.54,-8.99  -16.90  -9.82
92,0.69,-30.56  -22.98  -13.45
93,0.44,-24.15  -17.90  -30.06
94,0.51,-26.24  -22.03  -27.45
95,0.38,-12.74  -15.03  -12.08
96,0.65,-21.79  0.00  -31.00
97,0.46,-11.22  -17.14  -13.78
98,0.58,-26.82  -19.07  -18.78
99,0.42,-12.03  -19.19  -18.76
100,0.57,-23.61  -26.08  -16.37
101,0.71,-22.45  -14.04  -13.24
102,0.46,-30.10  -25.96  -30.41
103,0.53,-11.62  -27.52  -23.10
104,0.70,0.00  -24.77  -28.47
105,0.62,-28.86  -17.08  -23.90
106,0.58,-31.32  -39.81  -17.94
107,0.71,-10.99  -12.87  -24.92
108,0.64,-6.18  -11.02  -17.76
109,0.47,-15.39  -16.79  -17.73
110,0.55,-16.53  -15.79  -22.06
111,0.82,-28.24  -12.78  -19.33
112,0.64,-23.51  -17.71  -25.53
113,0.64,-15.64  -17.02  -10.20
114,0.53,-20.63  -19.82  -25.59
115,0.79,-16.04  -10.04  -17.89
116,0.55,-22.48  -27.90  -31.33
117,0.71,0.00  -21.20  -23.00
118,0.87,-33.17  -17.61  -34.44
119,0.45,-21.94  -20.90  0.00
120,0.79,-9.51  -31.86  -23.82
121,0.50,-17.39  -22.42  -19.18
122,0.75,-21.42  -23.97  -7.10
123,0.53,-16.22  -4.27  -17.36
124,0.61,-19.40  -20.03  -15.88
125,0.64,-13.70  -25.89  -8.63
126,0.64,-29.31  -19.84  -16.65
127,0.45,-23.97  -13.95  -14.58
128,0.47,-15.95  -12.95  -13.22
129,0.47,-21.58  -15.70  -10.22
130,0.65,-10.03  -19.88  -9.47
131,0.63,-5.37  -12.98  -17.82
132,0.63,-28.81  -27.57  -20.25
133,0.50,-6.69  -28.18  -10.03
134,0.77,-29.91  -15.81  -12.56
135,0.71,-14.39  -19.49  -13.08
136,0.53,-22.70  -19.52  -33.18
137,0.63,-33.81  -24.43  0.00
138,0.73,-14.67  -28.50  -29.94
139,0.74,-14.29  -19.91  -32.33
140,0.63,-6.54  -16.32  -17.69
141,0.61,-7.31  -23.78  -14.73
142,0.67,-10.27  -27.56  -17.08
143,0.87,-34.98  -15.59  0.00
144,0.62,-26.03  -17.11  -27.76
145,0.60,-22.44  -25.93  -19.16
146,0.58,-29.64  -17.14  -15.25
147,0.72,-5.51  -15.59  -16.04
148,0.62,-32.51  -26.06  -27.48
149,0.62,-9.28  -10.70  -13.81
150,0.58,-13.55  -19.39  -12.78
151,0.65,-15.66  -23.33  -28.19
152,0.56,-19.72  -20.24  -18.28
153,0.60,-10.52  -15.71  -23.42
154,0.46,-15.67  -17.41  -16.27
155,0.51,-21.37  -18.72  -13.12
156,0.67,-20.78  -30.11  -20.15
157,0.62,-17.94  -32.41  -21.52
158,0.42,-18.41  -18.06  -15.56
159,0.46,-25.45  -9.92  -19.85
160,0.70,-11.12  -23.87  -19.65
161,0.67,-26.36  -27.00  -16.07
162,0.45,-22.96  -19.99  -19.57
163,0.54,-32.65  -14.98  -26.00
164,0.54,-9.04  -11.16  -29.68
165,0.55,-15.41  -25.41  0.00
166,0.63,-14.73  -28.12  -9.19
167,0.55,-26.10  -13.35  -23.83
168,0.63,-36.74  -18.62  -15.08
169,0.75,-18.99  0.00  -29.75
170,0.78,-29.76  -28.21  -23.53
171,0.50,-10.41  -21.60  -15.35
172,0.53,-12.61  -16.18  -20.39
173,0.55,-25.69  -9.73  -33.10
174,0.41,-10.88  -13.79  -16.31
175,0.49,-13.76  -17.84  -19.22
176,0.55,-7.82  -15.11  -14.14
177,0.51,-24.27  -29.59  -33.92
178,0.54,-26.20  -28.88  -10.19
179,0.64,-15.87  -10.20  -33.36
180,0.75,-11.98  -23.46  -18.72
181,0.76,-38.81  -22.33  -23.02
182,0.69,-17.03  -21.28  -14.33
183,0.51,-13.21  -15.75  -12.12
184,0.75,-18.54  -12.03  -11.19
185,0.61,-25.31  -12.30  -22.56
186,0.58,-17.09  -14.26  -14.51
187,0.68,0.00  -29.34  -29.60
188,0.69,-16.22  -17.06  -16.92
189,0.61,-22.61  -9.21  -24.56
190,0.79,-21.64  -12.27  -23.83
191,0.48,-8.80  -20.78  -15.24
192,0.59,-17.50  -20.65  -16.37
193,0.50,-13.54  -20.12  -19.55
194,0.69,-29.10  -28.03  -28.21
195,0.42,-12.08  -15.03  -8.17
196,0.46,-27.87  -28.91  -20.41
197,0.58,-18.80  -28.42  -20.40
198,0.47,-13.07  -13.64  -15.49
199,0.65,-15.81  -23.23  -25.28
200,0.59,-23.91  -15.62  -26.27
201,0.74,-23.91  -12.36  -18.89
202,0.66,-17.43  -31.47  -17.03
203,0.61,-18.82  -21.05  -29.70
204,0.53,-14.36  -11.52  -16.38
205,0.58,-15.22  -22.19  -18.31
206,0.84,-26.37  -18.75  -23.94
207,0.62,-18.95  -24.61  -14.49
208,0.56,-22.96  -29.71  -20.96
209,0.72,-17.31  -23.71  -11.46
210,0.51,-26.36  -19.87  -14.37
211,0.77,-17.24  -7.79  -28.77
212,0.62,-25.37  -21.87  -22.27
213,0.71,-15.50  -20.46  -17.30
214,0.60,-14.15  -22.04  -12.14
215,0.88,-19.09  -17.99  -20.70
216,0.55,-15.24  -12.41  -15.31
217,0.54,-15.31  -24.10  -14.52
218,0.62,-18.18  -23.80  -16.64
219,0.53,-27.01  -17.88  -16.16
220,0.71,-33.37  -26.40  -21.23
221,0.75,-25.63  -14.12  -18.79
222,0.51,-23.25  -19.24  -19.16
223,0.76,-12.66  -24.44  -15.70
224,0.71,-20.61  -23.38  -11.01
225,0.58,-21.02  -17.27  -22.06
226,0.50,-30.51  -20.75  -24.54
227,0.57,-17.01  -24.02  -25.96
228,0.67,-21.88  -23.25  -22.65
229,0.38,-24.71  -23.30  -21.12
230,0.55,-34.84  -17.07  -19.04
231,0.49,-18.56  -23.44  -19.87
232,0.44,-17.66  -7.54  -27.13
233,0.69,-18.53  0.00  -21.91
234,0.66,-14.61  -22.71  -28.11
235,0.57,-30.48  -28.58  -27.85
236,0.56,-11.35  -22.30  -23.79
237,0.56,-15.13  0.00  -21.20
238,0.59,-9.98  -20.11  -12.11
239,0.65,-23.73  -20.94  -20.58
240,0.50,-23.71  -18.64  -22.26
241,0.84,0.00  -27.74  -36.08
242,0.67,-14.26  -25.27  -22.40
243,0.72,-27.42  -9.04  -12.33
244,0.64,-26.13  -15.68  -30.59
245,0.70,-22.79  -28.78  -19.03
246,0.69,-14.33  -11.07  -30.99
247,0.77,0.00  -30.34  -14.32
248,0.89,-13.36  -22.28  -14.76
249,0.56,-15.43  -18.93  -17.23
250,0.70,-28.17  -14.82  -18.65
251,0.74,-17.69  -15.85  -19.50
252,0.53,-24.06  -26.66  -28.66
253,0.60,-26.42  -14.83  -19.00
254,0.58,-23.85  -15.14  -19.94
255,0.45,-25.44  -22.73  -15.31
256,0.59,-12.47  -15.46  -12.16
257,0.57,-8.16  -16.98  -23.94
258,0.53,-19.17  -7.32  -13.35
259,0.52,-26.21  -12.93  -24.31
260,0.52,-21.59  -18.93  -21.11
261,0.51,-12.43  -12.60  -23.65
262,0.57,-18.73  -24.00  -20.58
263,0.52,-19.08  -21.41  -29.38
264,0.84,-8.62  0.00  -26.77
265,0.66,-21.13  -22.50  -28.04
266,0.62,-25.28  -18.34  -26.73
267,0.41,-21.58  -26.04  -20.11
268,0.75,-15.27  -9.19  -17.03
269,0.61,-23.50  -17.50  -24.55
270,0.59,-21.17  -13.88  -18.42
271,0.57,-11.63  -16.74  -12.18
272,0.61,-15.68  -10.21  -17.52
273,0.65,-28.28  -17.63  -17.83
274,0.61,-25.05  -27.71  -21.99
275,0.54,-18.06  -10.07  -23.53
276,0.54,-18.86  -10.89  -14.73
277,0.45,-6.89  -23.61  -15.03
278,0.46,-11.66  -9.67  -15.07
279,0.75,-32.32  -12.70  0.00
280,0.60,-18.07  -39.88  -10.21
281,0.65,-16.57  -25.76  -25.23
282,0.51,-8.78  -25.64  -31.03
283,0.55,-22.80  -32.29  -28.93
284,0.59,-12.37  -12.71  -14.03
285,0.85,-30.24  -20.53  -12.63
286,0.76,-10.86  -11.53  -22.02
287,0.57,-24.04  -31.93  -15.17
288,0.73,-9.92  -27.45  -16.38
289,0.53,-22.35  -26.45  -10.20
290,0.49,-20.48  -10.93  -17.16
291,0.69,-16.60  -13.50  -9.46
292,0.48,-18.86  -29.99  -26.90
293,0.71,-19.64  -8.55  -12.50
294,0.45,-26.85  -26.34  -28.38
295,0.58,-15.77  -16.39  -13.37
296,0.39,-22.37  -21.77  -24.21
297,0.58,-16.23  -4.80  -16.65
298,0.49,-29.26  -33.67  -21.35
299,0.48,-27.20  -25.53  -26.67
300,0.52,-21.12  -23.94  -12.92
301,0.50,-17.27  -27.47  -35.01
302,0.52,-11.93  -20.81  -25.16
303,0.41,-15.81  -21.72  -14.38
304,0.67,-23.69  -16.22  -8.26
305,0.60,-14.70  -17.42  -18.75
306,0.68,-19.90  -20.39  -26.01
307,0.46,-19.06  -23.07  -14.41
308,0.47,-21.71  -30.63  -16.64
309,0.56,-8.13  -11.90  -11.93
310,0.85,-16.54  -34.67  -11.88
311,0.77,-19.46  -33.79  -14.99
312,0.88,-10.24  -20.24  -8.95
313,0.54,-15.29  -22.82  -18.39
314,0.83,-26.22  -24.66  -21.40
315,0.59,-10.50  -16.61  -9.60
316,0.56,-27.18  -31.76  -18.35
317,0.68,-36.29  -14.30  0.00
318,0.55,-13.48  -12.73  -27.81
319,0.48,-12.98  -17.40  -19.15
320,0.55,-11.06  -18.31  -22.45
321,0.51,-18.68  -26.33  0.00
322,0.54,-18.96  -15.84  -6.82
323,0.83,-23.50  -27.31  -21.59
324,0.56,-18.37  -15.20  -10.64
325,0.53,-15.07  -18.46  -11.77
326,0.81,-16.27  -10.41  -11.21
327,0.51,-14.04  -15.26  -14.71
328,0.83,-10.50  -7.19  -28.43
329,0.73,-21.16  -16.57  -25.02
330,0.82,-10.16  -15.17  -17.22
331,0.49,-28.99  -11.57  -13.04
332,0.70,-32.04  -39.42  -24.25
333,0.65,-25.20  -15.90  -19.27
334,0.61,-9.87  -19.98  -11.29
335,0.49,-13.35  -12.26  -9.88
336,0.66,-9.46  -15.09  -16.71
337,0.68,-19.58  -6.56  -22.61
338,0.43,-9.91  -10.60  -22.21
339,0.42,-21.13  -14.74  -9.31
340,0.63,-18.59  -18.26  -19.25
341,0.81,-25.25  -12.31  -19.50
342,0.67,-30.77  -20.31  -9.92
343,0.77,-23.94  -21.72  -29.52
344,0.42,-18.16  -11.68  -13.88
345,0.61,-28.63  -19.31  -28.57
346,0.71,0.00  -23.08  -16.52
347,0.62,-19.23  -19.62  -24.62
348,0.69,-20.34  -21.40  -21.13
349,0.57,-10.96  -17.59  -10.57
350,0.68,-17.40  -9.21  -13.53
351,0.80,-21.70  -23.61  -23.09
352,0.81,-20.47  -25.47  0.00
353,0.83,-13.68  -9.71  -20.64
354,0.59,-11.94  -25.13  -15.32
355,0.57,-11.74  -21.26  -16.53
356,0.64,-32.56  -30.57  -16.99
357,0.51,0.00  0.00  -36.90
358,0.64,-29.48  -27.04  -35.19
359,0.52,-29.98  -20.98  -16.80
360,0.45,-12.85  -27.45  -21.47
361,0.64,-28.17  -17.39  -32.04
362,0.46,-21.00  -17.96  -23.46
363,0.54,-27.00  -14.85  -31.74
364,0.74,-16.62  -13.52  -14.24
365,0.51,-18.99  -15.10  -17.88
366,0.52,-22.45  -21.93  -19.46
367,0.63,-27.60  -6.11  -12.05
368,0.51,-16.79  -23.66  -18.13
369,0.54,-15.86  -22.92  -14.01
370,0.75,-24.58  -10.08  -8.46
371,0.70,0.00  -22.15  -33.96
372,0.53,-23.26  -25.38  -25.19
373,0.45,-24.97  -22.34  -13.25
374,0.52,-19.80  -26.41  -23.58
375,0.62,-16.98  -12.30  -16.91
376,0.71,-10.34  -32.44  -18.55
377,0.65,-15.78  -24.63  -17.72
378,0.82,-16.95  -16.63  -10.28
379,0.46,-22.61  -26.02  -22.71
380,0.46,-19.21  -15.30  -16.29
381,0.73,-19.54  -16.61  -24.00
382,0.68,-16.29  -25.65  -22.36
383,0.58,-20.26  -26.04  -22.24
384,0.52,-12.36  -10.58  -20.86
385,0.49,-21.65  -31.41  -21.17
386,0.64,-23.13  -27.27  -23.59
387,0.59,-19.10  -25.89  -16.57
388,0.67,-25.94  -15.35  -28.31
389,0.55,-23.57  -19.71  -13.15
390,0.45,-10.12  -6.44  -26.29
391,0.57,-15.23  -22.84  -18.72
392,0.77,-14.84  -16.29  -32.04
393,0.59,-15.26  -14.20  0.00
394,0.72,-14.03  -16.92  -16.51
395,0.86,-21.76  -7.02  -16.31
396,0.65,-24.07  -17.98  -21.05
397,0.46,-22.46  -11.43  -17.36
398,0.72,-8.31  -17.64  -14.74
399,0.55,-13.87  -12.00  -21.79
400,0.67,-25.57  -15.20  -17.97
401,0.52,-25.62  -28.51  -16.90
402,0.80,-20.94  -23.03  -24.37
403,0.78,-14.20  0.00  -27.67
404,0.61,-9.31  -12.93  -19.22
405,0.46,-11.33  -20.11  -21.54
406,0.46,-22.93  -22.48  -17.86
407,0.77,-23.59  -13.40  -19.79
408,0.85,-12.44  -17.34  -24.93
409,0.51,-17.36  -21.33  -31.61
410,0.65,-17.46  0.00  -30.66
411,0.45,-20.08  -14.78  -31.22
412,0.72,-22.60  -14.95  -25.14
413,0.66,-18.25  -14.91  -13.72
414,0.44,-10.05  -19.41  -11.12
415,0.57,-29.66  -21.16  -27.56
416,0.67,-30.15  -21.17  -19.49
417,0.70,-11.70  -17.53  -19.08
418,0.61,-23.97  -27.03  -24.92
419,0.45,-19.09  -18.86  -6.76
420,0.70,-15.96  -19.76  -7.52
421,0.48,-22.91  -26.26  -9.29
422,0.52,-14.66  -15.15  -20.93
423,0.63,-11.04  -15.69  -17.81
424,0.74,-10.26  -13.07  -17.46
425,0.65,-10.28  -32.80  -17.63
426,0.80,-28.31  -22.29  -11.23
427,0.69,-17.44  -17.50  -20.87
428,0.50,-5.25  -23.76  -20.02
429,0.51,-25.32  -14.24  -14.98
430,0.58,-21.05  -9.16  -21.33
431,0.44,-21.16  -28.08  -24.61
432,0.68,-30.80  -23.12  -23.82
433,0.40,-26.93  -19.62  -26.03
434,0.78,-25.00  -21.55  -16.63
435,0.85,-15.27  -32.82  -12.04
436,0.60,-20.96  -13.17  -4.94
437,0.85,-32.14  -21.48  -29.02
438,0.56,-31.37  -9.58  -22.84
439,0.42,-7.69  -10.69  -25.30
440,0.56,-28.36  -21.49  -12.91
441,0.47,-17.07  -30.86  -18.40
442,0.69,-32.06  -25.50  -23.43
443,0.47,-9.75  -13.86  -11.39
444,0.54,-14.96  -11.28  -12.22
445,0.42,-24.27  -17.27  -30.70
446,0.43,-27.68  -19.56  -21.76
447,0.74,-12.50  -23.17  -24.64
448,0.63,-8.25  -21.54  -26.48
449,0.67,-33.65  -20.29  -17.07
450,0.60,-24.06  -28.50  -17.76
451,0.60,-29.12  -18.90  -13.59
452,0.44,-24.67  -13.79  -21.59
453,0.54,-18.87  -18.12  -15.46
454,0.56,-12.88  -16.27  -15.16
455,0.56,-11.21  -13.30  -13.35
456,0.45,-23.15  -18.09  -25.23
457,0.61,-21.42  -34.11  -27.29
458,0.59,-7.36  -16.05  -18.47
459,0.77,-31.07  -23.11  -10.83
460,0.87,-19.96  -10.27  -10.19
461,0.45,-22.00  -17.16  -32.14
462,0.51,-19.60  -7.31  -15.93
463,0.90,-29.10  0.00  -24.08
464,0.58,-14.77  -17.25  -7.05
465,0.70,-17.50  -27.55  -38.51
466,0.65,-27.23  0.00  -36.90
467,0.71,-23.20  -14.28  -20.01
468,0.64,-6.35  -8.19  -21.24
469,0.73,-14.14  -27.01  -34.06
470,0.61,-20.26  -22.95  -17.08
471,0.69,-13.48  -23.61  -18.06
472,0.49,-25.28  0.00  -15.96
473,0.63,-29.85  -27.49  -18.74
474,0.70,-14.14  -30.57  -30.21
475,0.70,-35.00  -11.63  0.00
476,0.70,-14.12  -10.53  -25.07
477,0.67,-16.83  -25.55  -13.22
478,0.47,-17.46  -14.40  -21.12
479,0.56,-16.62  -19.87  -14.68
480,0.64,-13.28  -7.58  -20.81
481,0.61,-6.95  -14.62  -16.81
482,0.65,-12.57  -10.36  -16.48
483,0.50,-16.16  -19.81  -12.67
484,0.76,-7.56  -12.27  -12.62
485,0.58,-18.64  -33.25  -12.95
486,0.78,-21.15  -22.88  0.00
487,0.73,-16.70  -23.93  -16.57
488,0.80,-27.87  -29.00  -26.16
489,0.75,-28.24  -12.71  -13.54
490,0.54,-30.34  -33.52  -21.94
491,0.79,-36.16  -29.23  0.00
492,0.48,-15.91  -27.17  -17.68
493,0.57,-17.89  -24.93  -21.92
494,0.54,-26.56  -27.36  -14.45
495,0.47,-19.95  -17.22  -21.27
496,0.79,-16.31  -25.42  -19.47
497,0.45,-17.47  -16.31  -18.60
498,0.73,-19.56  -22.74  0.00
499,0.82,-20.65  -18.52  -23.15
500,0.59,-12.59  -33.46  -25.76
501,0.72,-22.12  -13.73  -11.22
502,0.48,-9.70  -14.12  -16.00
503,0.58,-22.39  -8.83  -15.83
504,0.59,-23.93  -14.29  -19.36
505,0.58,-16.55  -16.17  -14.07
506,0.65,-23.91  -22.62  -23.80
507,0.64,-13.67  -16.70  -17.80
508,0.64,-23.94  -23.90  -11.27
509,0.64,-11.17  -13.39  -17.36
510,0.51,-27.50  -19.47  -25.79
511,0.63,-11.07  -7.61  -14.21
512,0.54,-23.49  -23.45  -13.22
513,0.52,-13.98  -12.44  -19.12
514,0.51,-23.60  -23.26  -15.69
515,0.60,-19.86  -18.64  -14.04
516,0.69,-13.94  -18.87  -26.20
517,0.53,-20.78  -26.32  -12.49
518,0.52,-14.40  -24.89  -17.09
519,0.82,-19.85  -17.82  -27.35
520,0.75,-33.14  -22.93  -21.59
521,0.63,-25.57  -15.37  -16.57
522,0.61,-15.19  -15.97  -15.92
523,0.72,0.00  -33.45  -13.80
524,0.41,-26.10  -14.19  -26.66
525,0.46,-30.86  -32.53  -35.13
526,0.57,-18.72  -21.72  -19.76
527,0.54,-11.16  -15.68  -28.17
528,0.47,-20.70  -17.82  -17.17
529,0.67,-29.59  -13.87  -33.29
530,0.47,-17.57  -17.15  -14.60
531,0.64,-9.66  -16.94  -19.81
532,0.44,-18.57  -22.16  0.00
533,0.85,-22.51  -28.86  -18.87
534,0.62,-21.97  -22.58  -27.31
535,0.73,-20.11  -27.16  0.00
536,0.46,-21.08  -23.33  -17.06
537,0.65,-27.44  -22.61  -29.62
538,0.52,-18.32  -19.68  -17.45
539,0.55,-26.63  -20.13  -11.06
540,0.86,-18.33  -16.51  -13.91
541,0.57,-7.97  -12.66  -11.70
542,0.50,-12.36  -20.75  -31.66
543,0.63,-18.77  -9.87  -18.81
544,0.90,-22.27  -16.06  -12.79
545,0.78,-4.61  -10.35  -17.49
546,0.58,-20.54  -29.53  -20.83
547,0.57,-17.41  -19.93  -23.69
548,0.48,-25.25  -31.54  -21.68
549,0.45,-18.34  -18.92  -19.93
550,0.56,-22.39  -14.73  -15.13
551,0.63,-12.87  -16.20  -17.66
552,0.63,-20.61  -11.88  -16.11
553,0.67,-13.66  -15.43  -11.46
554,0.64,-12.94  -21.85  -7.50
555,0.47,-15.33  -9.21  -18.57
556,0.72,-19.21  -18.33  -12.49
557,0.49,-17.96  -11.57  -23.79
558,0.57,-14.83  -15.84  -26.17
559,0.58,-10.74  -21.03  -20.19
560,0.74,-19.26  -17.48  -20.57
561,0.47,-30.21  -16.60  -28.60
562,0.42,-18.74  -16.81  -20.93
563,0.50,-12.07  -31.55  -18.85
564,0.56,-15.44  -21.17  -14.83
565,0.57,-18.01  -28.04  -17.56
566,0.55,-21.04  -15.42  -11.92
567,0.64,-25.86  -24.08  0.00
568,0.64,-32.30  -30.15  -19.27
569,0.58,-37.42  -16.00  -21.11
570,0.89,-24.48  -13.24  -16.77
571,0.61,-19.46  -17.70  -22.68
572,0.57,-27.30  -10.13  -16.45
573,0.51,-4.37  -15.99  -13.86
574,0.46,-21.13  -15.11  -19.22
575,0.62,-18.37  -14.01  -13.95
576,0.49,-30.38  -14.63  -13.13
577,0.60,-16.91  -23.56  -14.70
578,0.44,-16.40  -17.12  -16.99
579,0.46,-19.28  -26.69  -12.11
580,0.52,-17.42  -18.98  -17.25
581,0.61,-10.46  -5.75  -18.10
582,0.56,-35.22  -25.39  -9.31
583,0.50,-12.59  -16.56  -23.64
584,0.65,-5.34  -19.32  -14.51
585,0.68,-12.40  -15.87  -29.15
586,0.50,-12.25  -17.33  -18.44
587,0.68,-11.84  -22.72  -11.99
588,0.68,-16.92  -16.44  -27.67
589,0.53,-23.03  -14.54  -24.93
590,0.86,0.00  -23.07  -18.05
591,0.68,-20.22  -15.61  -29.53
592,0.71,-12.03  -19.68  -9.27
593,0.58,-19.99  -10.08  -13.19
594,0.82,-6.03  -19.78  -8.66
595,0.68,-23.60  -11.02  -20.35
596,0.80,-30.94  -24.30  0.00
597,0.45,-17.57  -27.97  -21.10
598,0.65,-20.60  -12.69  -12.31
599,0.69,-22.11  -11.40  -21.94
600,0.58,-21.99  -14.59  -10.49
601,0.42,-11.91  -20.68  -14.89
602,0.64,-14.09  -14.18  -6.57
603,0.76,-24.15  -19.12  -29.50
604,0.60,-11.24  -21.40  -18.46
605,0.59,-12.98  -8.32  -17.18
606,0.44,-21.23  -16.58  -22.94
607,0.51,-22.03  -28.77  -18.39
608,0.63,-15.25  -25.63  -15.82
609,0.54,-12.47  -13.12  -21.31
610,0.78,-10.39  -19.28  -6.59
611,0.45,-19.27  -15.73  -14.81
612,0.69,-14.18  -10.11  -18.33
613,0.42,-15.80  -24.69  -8.74
614,0.50,-15.64  -18.63  -26.39
615,0.57,-19.39  0.00  -33.00
616,0.63,-24.33  -29.23  -15.64
617,0.68,-22.40  -19.39  -15.76
618,0.55,-26.54  -23.52  -19.57
619,0.75,-10.29  -25.31  -8.08
620,0.75,-9.89  -8.87  -20.77
621,0.45,-12.92  -24.06  -12.05
622,0.53,-16.34  -21.38  -14.29
623,0.74,-22.05  -18.53  -17.43
624,0.41,-8.91  -11.13  -10.36
625,0.61,-6.99  -24.67  -9.96
626,0.45,-14.94  -17.01  -14.88
627,0.71,-36.06  -24.22  -22.51
628,0.42,-15.23  -20.64  -21.98
629,0.80,-28.71  0.00  -26.20
630,0.51,-12.79  -16.09  -21.94
631,0.59,-20.87  -32.58  -23.34
632,0.58,-26.09  -19.08  -20.94
633,0.57,-24.78  -24.84  -29.07
634,0.63,-9.37  -28.11  -25.96
635,0.51,-13.40  -10.60  -24.88
636,0.56,-17.82  -12.91  -11.04
637,0.67,-17.61  -24.29  -27.34
638,0.50,-34.28  -27.31  0.00
639,0.59,-30.51  -17.38  -22.76
640,0.66,-13.33  -15.83  -17.56
641,0.45,-18.47  -20.17  -29.49
642,0.74,-24.42  -19.32  -13.86
643,0.63,-21.13  -13.10  -16.63
644,0.60,-33.81  -21.80  -17.44
645,0.53,-15.61  -9.04  -23.40
646,0.71,-12.89  -19.28  -26.69
647,0.59,-25.68  -18.24  -18.66
648,0.51,-13.31  -9.18  -16.52
649,0.60,0.00  -19.93  -32.15
650,0.66,-22.91  -20.48  -35.41
651,0.77,-14.58  -13.70  -14.62
652,0.68,-17.36  -11.48  -22.67
653,0.57,-14.23  -11.69  -17.56
654,0.54,-15.14  -8.55  -19.11
655,0.63,-16.32  -17.77  -20.64
656,0.80,-30.26  -26.10  -21.38
657,0.85,-15.15  -18.75  -24.44
658,0.63,-16.97  -17.07  -10.83
659,0.59,-24.86  -18.96  -23.72
660,0.60,-25.67  -20.35  0.00
661,0.75,-19.39  -23.60  -24.36
662,0.41,-22.53  -14.79  -14.58
663,0.65,-27.55  -19.97  -17.10
664,0.61,-22.81  -22.07  -22.32
665,0.63,-25.29  0.00  -32.05
666,0.70,-16.48  -26.09  -22.21
667,0.53,-23.50  -17.46  -7.69
