id,epsilon,q_table
218,0.66,-18.18  -15.94  -16.64
219,0.57,-27.01  -17.88  -11.04
220,0.73,-31.00  -26.40  -21.23
221,0.76,-24.33  -14.12  -18.79
222,0.56,-23.25  -19.24  -12.22
223,0.77,0.00  -24.44  -15.70
224,0.74,-20.61  -13.43  -11.01
225,0.60,-16.08  -17.27  -22.06
226,0.54,-30.51  -20.75  -12.33
227,0.60,-17.01  -24.02  -12.54
228,0.69,-21.88  -23.25  -18.40
229,0.42,-24.71  -23.30  -18.66
230,0.60,-34.84  0.00  -19.04
231,0.52,-18.56  -23.44  -13.49
232,0.48,-17.66  -7.54  -16.96
233,0.73,-14.72  0.00  -21.91
234,0.67,-14.61  -12.90  -28.11
235,0.59,-30.48  -20.86  -27.85
236,0.60,-6.92  -22.30  -23.79
237,0.61,-7.09  0.00  -21.20
238,0.64,-9.98  -14.72  -12.11
239,0.66,-23.73  -19.59  -20.58
240,0.54,-18.05  -18.64  -22.26
241,0.85,0.00  -21.98  -36.08
242,0.68,-14.26  -13.86  -22.40
243,0.72,-23.82  -9.04  -12.33
244,0.65,-26.13  -15.68  -22.72
245,0.74,-15.22  -28.78  -19.03
246,0.73,-14.33  -11.07  -25.71
247,0.80,0.00  -30.67  -14.32
248,0.91,-13.36  -19.82  -14.76
249,0.58,-15.43  -12.52  -17.23
250,0.72,-28.17  -14.82  -16.87
251,0.77,-17.69  -8.90  -19.50
252,0.57,-24.06  -26.66  -15.66
253,0.64,-26.42  -14.83  -9.36
254,0.62,-14.82  -15.14  -19.94
255,0.50,-25.44  -12.60  -15.31
256,0.63,-12.47  -15.46  -7.56
257,0.62,-8.16  -13.27  -23.94
258,0.59,-19.17  -7.32  -8.31
259,0.57,-14.98  -12.93  -24.31
260,0.56,-21.59  -13.25  -21.11
261,0.56,-12.43  -12.60  -19.47
262,0.59,-18.73  -24.00  -18.09
263,0.57,-19.08  -21.41  -15.57
264,0.86,-8.62  0.00  -19.91
265,0.67,-21.13  -22.50  -17.37
266,0.67,-25.28  -18.34  -25.41
267,0.45,-21.58  -20.06  -20.11
268,0.77,-15.27  -5.26  -17.03
269,0.63,-14.86  -17.50  -24.55
270,0.64,-21.17  -13.88  -8.78
271,0.61,-11.63  -8.23  -12.18
272,0.65,-15.68  -10.21  -9.83
273,0.66,-15.92  -17.63  -17.83
274,0.66,-28.66  -27.71  -21.99
275,0.58,-12.52  -10.07  -23.53
276,0.58,-18.86  -10.89  -9.13
277,0.50,-6.89  -23.61  0.00
278,0.49,-11.66  -9.67  -7.12
279,0.78,-29.02  -12.70  0.00
280,0.63,0.00  -39.88  -10.21
281,0.67,-16.57  -25.76  -16.18
282,0.56,-8.78  -16.83  -31.03
283,0.61,-22.80  -18.50  -28.93
284,0.63,-12.37  -9.12  -14.03
285,0.87,-30.24  -20.53  0.00
286,0.78,-10.86  -11.53  -16.37
287,0.60,-10.68  -31.93  -15.17
288,0.74,-9.92  -27.45  -9.00
289,0.59,-22.35  -26.45  0.00
290,0.53,-13.32  -10.93  -17.16
291,0.73,-8.74  -13.50  -9.46
292,0.52,-18.86  -29.99  -18.09
293,0.74,-19.64  -8.55  0.00
294,0.48,-26.85  -26.34  -16.90
295,0.61,-13.26  -16.39  -13.37
296,0.43,-14.76  -21.77  -24.21
297,0.61,-16.23  -4.80  -7.85
298,0.54,-17.71  -33.67  -21.35
299,0.51,-27.20  -25.53  -18.93
300,0.57,-18.21  -23.94  -12.92
301,0.54,-17.27  -13.16  -35.01
302,0.56,-11.93  -8.17  -25.16
303,0.45,-8.61  -21.72  -14.38
304,0.71,-23.69  -11.51  -8.26
305,0.65,-8.73  -17.42  -18.75
306,0.71,-19.90  -20.39  -14.91
307,0.50,-19.06  -9.50  -14.41
308,0.51,-21.71  -18.68  -16.64
309,0.60,-8.13  -11.90  -6.21
310,0.86,-16.54  -38.11  -11.88
311,0.80,-19.46  -32.95  -14.99
312,0.89,-10.24  -14.15  -8.95
313,0.56,-15.29  -22.82  -13.83
314,0.85,-26.22  -24.66  -10.80
315,0.62,-7.16  -16.61  -9.60
316,0.59,-13.55  -31.76  -18.35
317,0.72,-29.81  -14.30  0.00
318,0.58,-13.48  -12.73  -20.00
319,0.52,-12.98  -17.40  -11.62
320,0.60,-11.06  -18.31  -12.85
321,0.56,-18.68  -24.05  0.00
322,0.59,-18.96  -7.07  -6.82
323,0.85,-23.50  -27.31  0.00
324,0.59,-12.42  -15.20  -10.64
325,0.57,-15.07  -17.05  -11.77
326,0.82,-16.27  0.00  -11.21
327,0.54,-14.04  -6.72  -14.71
328,0.85,-10.50  -7.19  -31.85
329,0.77,-21.16  -16.57  -15.47
330,0.84,-10.16  -15.17  -8.18
331,0.54,-23.61  -11.57  -13.04
332,0.71,-32.04  -30.12  -24.25
333,0.66,-25.20  -9.24  -19.27
334,0.65,-9.87  -12.62  -11.29
335,0.54,-13.35  -6.49  -9.88
336,0.69,-9.46  -8.34  -16.71
337,0.72,-10.39  -6.56  -22.61
338,0.48,-9.91  -10.60  -15.21
339,0.46,-21.13  -4.91  -9.31
340,0.65,-9.57  -18.26  -19.25
341,0.82,-25.25  -12.31  -11.75
342,0.70,-30.77  -14.94  -9.92
343,0.81,-23.94  -21.72  -27.84
344,0.46,-18.16  -11.68  -7.99
345,0.64,-28.63  -19.31  -14.71
346,0.73,0.00  -18.27  -16.52
347,0.66,-19.23  -10.61  -24.62
348,0.71,-20.34  -17.90  -21.13
349,0.59,-10.96  -11.24  -10.57
350,0.69,-14.94  -9.21  -13.53
351,0.83,-9.14  -23.61  -23.09
352,0.82,-19.99  -25.47  0.00
353,0.85,-6.98  -9.71  -20.64
354,0.61,-11.94  -25.13  -7.45
355,0.61,-11.74  -21.26  -11.56
356,0.66,-32.56  -15.98  -16.99
357,0.57,0.00  0.00  -27.99
358,0.68,-22.64  -27.04  -35.19
359,0.55,-20.93  -20.98  -16.80
360,0.48,-12.85  -21.68  -21.47
361,0.67,-17.25  -17.39  -32.04
362,0.50,-14.13  -17.96  -23.46
363,0.60,-12.52  -14.85  -31.74
364,0.76,-16.62  -13.52  -8.48
365,0.54,-18.99  -9.13  -17.88
366,0.57,-22.45  -21.93  -12.65
367,0.65,-27.60  -6.11  -8.48
368,0.54,-16.79  -16.41  -18.13
369,0.57,-15.86  -13.60  -14.01
370,0.77,-20.50  -10.08  -8.46
371,0.71,0.00  -16.09  -33.96
372,0.58,-23.26  -12.35  -25.19
373,0.49,-24.97  -23.67  -13.25
374,0.56,-19.80  -25.62  -23.58
375,0.65,-16.98  -12.30  -14.00
376,0.74,-10.34  -25.12  -18.55
377,0.69,-9.72  -24.63  -17.72
378,0.83,-16.95  -15.24  -10.28
379,0.50,-15.85  -26.02  -22.71
380,0.50,-12.00  -15.30  -16.29
381,0.75,-19.54  -16.61  -19.34
382,0.72,-16.29  -14.13  -22.36
383,0.61,-20.26  -22.45  -22.24
384,0.57,-6.72  -10.58  -20.86
385,0.53,-16.83  -31.41  -21.17
386,0.68,-23.13  -13.10  -23.59
387,0.63,-19.10  -25.89  -9.71
388,0.69,-25.94  -15.35  -28.16
389,0.58,-23.57  -18.54  -13.15
390,0.49,-10.12  0.00  -26.29
391,0.61,-15.23  -17.99  -18.72
392,0.78,-14.84  -16.29  -25.16
393,0.62,-12.02  -14.20  0.00
394,0.74,-14.03  -16.92  -10.34
395,0.87,-21.76  -7.02  -14.59
396,0.68,-24.07  -17.98  -16.88
397,0.51,-22.46  -11.43  -11.85
398,0.74,-8.31  -9.10  -14.74
399,0.58,-13.87  -12.00  -12.71
400,0.68,-26.08  -15.20  -17.97
401,0.56,-15.94  -28.51  -16.90
402,0.83,-17.59  -23.03  -24.37
403,0.80,-14.20  0.00  -19.35
404,0.63,-9.31  -8.67  -19.22
405,0.51,-11.33  -20.11  -13.60
406,0.50,-22.93  -22.90  -17.86
407,0.80,-23.59  -13.40  0.00
408,0.87,-12.44  -17.34  -16.48
409,0.56,-17.36  -21.33  -23.94
410,0.69,-17.46  0.00  -28.13
411,0.49,-20.08  -14.78  -26.92
412,0.76,-21.26  -14.95  -25.14
413,0.69,-18.25  -14.91  -7.13
414,0.48,-10.05  -19.41  -7.54
415,0.60,-29.66  -19.08  -27.56
416,0.70,-30.15  -21.17  -16.55
417,0.73,-11.70  -17.53  -16.14
418,0.62,-23.97  -27.03  -21.36
419,0.49,-8.03  -18.86  -6.76
420,0.74,-10.81  -19.76  -7.52
421,0.52,-22.91  -20.10  -9.29
422,0.57,-9.91  -15.15  -20.93
423,0.65,-11.04  -9.32  -17.81
424,0.77,-10.26  -5.84  -17.46
425,0.68,-10.28  -37.21  -17.63
426,0.82,-22.36  -22.29  -11.23
427,0.71,-17.44  -14.89  -20.87
428,0.54,-5.25  -23.76  -11.68
429,0.55,-27.70  -14.24  -14.98
430,0.61,-19.12  -9.16  -21.33
431,0.49,-15.22  -28.08  -24.61
432,0.71,-30.80  -23.12  -12.10
433,0.44,-18.27  -19.62  -26.03
434,0.80,-25.00  -7.62  -16.63
435,0.86,-10.65  -32.82  -12.04
436,0.65,-14.70  -13.17  -4.94
437,0.87,-32.14  -21.48  -19.83
438,0.62,-34.53  -9.58  -22.84
439,0.46,-7.69  -10.69  -16.60
440,0.62,-25.70  -21.49  -12.91
441,0.51,-10.83  -30.86  -18.40
442,0.72,-29.25  -25.50  -23.43
443,0.51,-9.75  -8.25  -11.39
444,0.57,-14.96  -11.28  -7.71
445,0.47,-24.27  0.00  -30.70
446,0.47,-18.96  -19.56  -21.76
447,0.77,-12.50  -8.94  -24.64
448,0.65,-8.25  -21.54  -20.69
449,0.69,-33.65  -10.38  -17.07
450,0.63,-24.06  -17.38  -17.76
451,0.63,-31.60  -18.90  -13.59
452,0.49,-13.26  -13.79  -21.59
453,0.57,-18.87  -12.13  -15.46
454,0.59,-12.88  -16.27  -12.67
455,0.60,-11.21  -13.30  -7.33
456,0.49,-16.57  -18.09  -25.23
457,0.64,-21.42  -34.11  -13.66
458,0.63,0.00  -16.05  -18.47
459,0.79,-25.55  -23.11  -10.83
460,0.89,-19.96  -6.97  -10.19
461,0.49,-14.80  -17.16  -32.14
462,0.56,-13.19  -7.31  -15.93
463,0.91,-20.98  0.00  -24.08
464,0.63,-6.35  -17.25  -7.05
465,0.73,-17.50  -27.55  -32.70
466,0.68,-27.23  0.00  -30.78
467,0.72,-23.20  -14.28  -11.54
468,0.68,-6.35  -8.19  -15.21
469,0.75,-14.14  -12.02  -34.06
470,0.62,-9.91  -22.95  -17.08
471,0.71,-13.48  -23.61  -15.21
472,0.54,-20.72  0.00  -15.96
473,0.64,-28.91  -27.49  -18.74
474,0.73,0.00  -30.57  -30.21
475,0.72,-35.00  0.00  0.00
476,0.74,-14.12  -10.53  -22.03
477,0.69,-14.19  -25.55  -13.22
478,0.50,-17.46  -14.40  -11.92
479,0.60,-16.62  -19.87  -11.44
480,0.66,-13.28  -7.58  -17.28
481,0.64,-6.95  -14.62  -11.20
482,0.66,-8.60  -10.36  -16.48
483,0.54,-10.51  -19.81  -12.67
484,0.79,-7.56  -9.97  -12.62
485,0.62,-18.64  -22.07  -12.95
486,0.79,-21.15  -22.58  0.00
487,0.74,-16.70  -24.04  -16.57
488,0.81,-27.87  -15.44  -26.16
489,0.76,-28.24  -12.71  -10.55
490,0.58,-30.34  -20.90  -21.94
491,0.82,-30.73  -29.23  0.00
492,0.54,-10.76  -27.17  -17.68
493,0.62,-17.89  -24.24  -21.92
494,0.58,-13.68  -27.36  -14.45
495,0.52,-19.95  -7.67  -21.27
496,0.81,-16.31  -13.95  -19.47
497,0.49,-17.47  -10.07  -18.60
498,0.76,-19.56  -18.79  0.00
499,0.84,-20.65  -18.52  -13.40
500,0.62,-12.59  -24.92  -25.76
501,0.75,-16.27  -13.73  -11.22
502,0.52,-9.70  -14.12  -7.40
503,0.61,-15.08  -8.83  -15.83
504,0.62,-23.93  -14.29  -12.42
505,0.63,-6.78  -16.17  -14.07
506,0.66,-16.55  -22.62  -23.80
507,0.69,-6.74  -16.70  -17.80
508,0.68,-13.94  -23.90  -11.27
509,0.68,-11.17  -13.39  -12.93
510,0.56,-16.99  -19.47  -25.79
511,0.67,-4.48  -7.61  -14.21
512,0.59,-23.49  -23.45  0.00
513,0.57,-5.25  -12.44  -19.12
514,0.54,-23.60  -21.94  -15.69
515,0.64,-19.86  -16.16  -14.04
516,0.71,0.00  -18.87  -26.20
517,0.59,-20.78  -21.83  -12.49
518,0.56,-14.40  -14.47  -17.09
519,0.84,-19.85  -17.82  -17.51
520,0.77,-33.14  -23.59  -21.59
521,0.67,-23.28  -15.37  -16.57
522,0.66,-15.19  -15.97  -11.68
523,0.75,0.00  -28.85  -13.80
524,0.45,-26.10  -14.19  -15.00
525,0.50,-24.36  -32.53  -35.13
526,0.61,-17.89  -21.72  -19.76
527,0.59,-11.16  -6.97  -28.17
528,0.50,-20.70  -17.82  -14.07
529,0.71,-29.59  -13.87  -23.31
530,0.51,-15.71  -17.15  -14.60
531,0.65,-9.66  -7.11  -19.81
532,0.47,-18.57  -20.33  0.00
533,0.87,-22.51  -28.86  0.00
534,0.67,-21.97  -18.50  -27.31
535,0.75,-20.11  -30.29  0.00
536,0.50,-21.08  -23.33  -14.59
537,0.67,-27.44  -22.61  -20.77
538,0.57,-18.32  -15.44  -17.45
539,0.61,-20.67  -20.13  -11.06
540,0.87,-10.18  -16.51  -13.91
541,0.59,-7.97  -4.61  -11.70
542,0.54,-12.36  -20.75  -22.99
543,0.65,-11.00  -9.87  -18.81
544,0.91,-22.27  -6.05  -12.79
545,0.81,-4.61  -4.07  -17.49
546,0.62,-20.54  -29.53  -12.37
547,0.61,-17.41  -19.93  -14.95
548,0.52,-25.25  -28.79  -21.68
549,0.49,-13.71  -18.92  -19.93
550,0.60,-22.39  -8.65  -15.13
551,0.66,-12.87  -11.41  -17.66
552,0.68,-15.36  -11.88  -16.11
553,0.69,-13.66  -15.43  -7.80
554,0.68,-12.94  -13.73  -7.50
555,0.51,-15.33  -9.21  -13.23
556,0.74,-19.21  -16.90  -12.49
557,0.55,-17.96  -11.57  -16.12
558,0.61,-14.83  -15.84  -26.22
559,0.62,-10.74  -21.03  -12.54
560,0.76,-19.26  -17.48  -14.05
561,0.50,-16.18  -16.60  -28.60
562,0.46,-18.74  -16.81  -17.96
563,0.54,-12.07  -31.55  -8.18
564,0.58,-12.32  -21.17  -14.83
565,0.61,-18.01  -22.84  -17.56
566,0.59,-10.63  -15.42  -11.92
567,0.67,-25.86  -17.16  0.00
568,0.66,-32.30  -30.15  0.00
569,0.61,-26.86  -16.00  -21.11
570,0.90,-24.48  -13.24  -7.91
571,0.63,-19.46  -17.70  -14.58
572,0.62,-19.21  -10.13  -16.45
573,0.56,0.00  -15.99  -13.86
574,0.51,-21.13  -15.11  -10.06
575,0.64,-18.37  -14.01  -7.60
576,0.54,-30.38  -14.63  -8.30
577,0.63,-16.91  -16.84  -14.70
578,0.48,-16.40  -12.64  -16.99
579,0.50,-19.28  -27.08  -12.11
580,0.55,-17.42  -18.98  -10.01
581,0.64,-10.46  -5.75  -15.81
582,0.61,-35.22  -25.39  0.00
583,0.55,-12.59  -16.56  -14.37
584,0.70,0.00  -19.32  -14.51
585,0.72,-12.40  -12.34  -29.15
586,0.53,-12.25  -17.33  -10.90
587,0.70,-7.47  -22.72  -11.99
588,0.70,-16.92  -16.44  -16.30
589,0.57,-12.43  -14.54  -24.93
590,0.87,0.00  -23.07  -15.88
591,0.70,-20.22  0.00  -29.53
592,0.72,-5.92  -19.68  -9.27
593,0.62,-12.14  -10.08  -13.19
594,0.84,-6.03  -13.05  -8.66
595,0.71,-15.45  -11.02  -20.35
596,0.82,-30.94  -19.74  0.00
597,0.49,-17.57  -15.78  -21.10
598,0.69,-20.60  -7.77  -12.31
599,0.71,-16.51  -11.40  -21.94
600,0.63,-21.99  -11.71  -10.49
601,0.46,-11.91  -20.68  -9.42
602,0.68,-14.09  -10.84  -6.57
603,0.79,-24.15  -12.51  -29.50
604,0.63,-11.24  -21.40  -14.96
605,0.64,-12.98  -8.32  -16.14
606,0.48,-21.23  -12.05  -22.94
607,0.54,-16.10  -28.77  -18.39
608,0.66,-15.25  -21.07  -15.82
609,0.58,-12.47  -13.12  -17.50
610,0.80,-6.57  -19.28  -6.59
611,0.49,-19.27  -11.29  -14.81
612,0.71,-8.03  -10.11  -18.33
613,0.46,-15.80  -16.63  -8.74
614,0.54,-15.64  -15.36  -26.39
615,0.61,-14.33  0.00  -33.00
616,0.66,-24.33  -18.56  -15.64
617,0.69,-22.40  -19.39  -8.30
618,0.59,-26.54  -23.52  -17.44
619,0.78,-10.29  -20.57  -8.08
620,0.78,-5.90  -8.87  -20.77
621,0.50,-12.92  -24.06  0.00
622,0.56,-16.34  -21.38  0.00
623,0.76,-22.05  -9.65  -17.43
624,0.46,-8.91  -7.90  -10.36
625,0.63,-6.99  -24.67  0.00
626,0.50,-14.94  -17.01  -8.98
627,0.73,-26.79  -24.22  -22.51
628,0.47,-15.23  -10.24  -21.98
629,0.82,-23.52  0.00  -26.20
630,0.56,-12.79  -9.71  -21.94
631,0.64,-20.87  -21.66  -23.34
632,0.62,-26.09  -8.63  -20.94
633,0.60,-24.78  -24.84  -14.92
634,0.66,-9.37  -28.11  -21.45
635,0.54,-7.73  -10.60  -24.88
636,0.62,-10.76  -12.91  -11.04
637,0.71,0.00  -24.29  -27.34
638,0.55,-24.08  -27.31  0.00
639,0.62,-27.05  -17.38  -22.76
640,0.66,-13.33  -8.07  -17.56
641,0.49,-18.47  -20.17  -17.89
642,0.75,-23.41  -19.32  -13.86
643,0.67,-21.13  -13.10  -11.76
644,0.63,-27.46  -21.80  -17.44
645,0.56,-15.61  -9.04  -15.31
646,0.72,-12.89  -19.28  -22.36
647,0.63,-16.30  -18.24  -18.66
648,0.54,-13.31  -9.18  -13.00
649,0.65,0.00  -17.12  -32.15
650,0.67,-19.33  -20.48  -35.41
651,0.78,-14.58  -13.70  -12.34
652,0.71,-17.36  0.00  -22.67
653,0.60,-10.38  -11.69  -17.56
654,0.59,-15.14  -8.55  -16.48
655,0.64,-16.32  -17.77  -17.27
656,0.83,-30.26  -21.87  -21.38
657,0.87,-15.15  -9.56  -24.44
658,0.65,-16.97  -17.07  0.00
659,0.64,-24.86  -18.96  -16.83
660,0.62,-25.67  -16.11  0.00
661,0.77,-19.39  -13.34  -24.36
662,0.46,-22.53  -9.07  -14.58
663,0.68,-27.55  -11.93  -17.10
664,0.64,-22.81  -22.07  -11.27
665,0.65,-25.29  0.00  -22.81
666,0.74,-10.32  -26.09  -22.21
667,0.58,-14.06  -17.46  -7.69
668,0.53,-20.97  -25.66  0.00
669,0.55,-21.43  -18.83  0.00
