id,epsilon,q_table
217,0.62,-9.03  -26.06  -14.52
218,0.69,-18.18  -15.94  -8.94
219,0.62,-27.01  -13.59  -11.04
220,0.75,-31.00  -26.40  0.00
221,0.77,-24.33  -14.12  -18.79
222,0.61,-23.25  -12.21  -12.22
223,0.78,0.00  -25.39  -15.70
224,0.76,-20.61  -13.43  0.00
225,0.62,-7.93  -17.27  -22.06
226,0.59,-19.36  -20.75  -12.33
227,0.64,-17.01  -11.86  -12.54
228,0.71,-21.88  -12.55  -18.40
229,0.46,-24.71  -18.42  -18.66
230,0.66,-34.84  0.00  -14.01
231,0.56,-18.56  -9.62  -13.49
232,0.53,-13.73  -7.54  -16.96
233,0.77,-14.72  0.00  -20.96
234,0.68,-14.61  -12.90  -17.73
235,0.62,-19.87  -20.86  -27.85
236,0.64,-6.92  -14.90  -23.79
237,0.66,-7.09  0.00  -20.57
238,0.69,-9.98  -7.71  -12.11
239,0.67,-17.31  -19.59  -20.58
240,0.59,-8.31  -18.64  -22.26
241,0.86,0.00  0.00  -36.08
242,0.69,-9.07  -13.86  -22.40
243,0.73,-23.82  -9.04  0.00
244,0.66,-15.57  -15.68  -22.72
245,0.78,-15.22  -28.78  -14.82
246,0.77,-14.33  -11.07  -20.70
247,0.83,0.00  -30.67  0.00
248,0.92,-13.36  -13.82  -14.76
249,0.61,-15.43  -12.52  -12.21
250,0.74,-20.30  -14.82  -16.87
251,0.81,-17.69  -8.90  -12.18
252,0.62,-13.69  -26.66  -15.66
253,0.68,-26.42  -14.83  0.00
254,0.66,-14.82  -15.14  -9.40
255,0.55,-23.09  -12.60  -15.31
256,0.68,-5.43  -15.46  -7.56
257,0.67,-8.16  -13.27  -13.62
258,0.65,-18.31  -7.32  -8.31
259,0.63,-14.98  -9.06  -24.31
260,0.61,-10.89  -13.25  -21.11
261,0.61,-12.43  -12.60  -13.78
262,0.61,-18.73  -24.00  -10.38
263,0.63,-13.15  -21.41  -15.57
264,0.87,-8.62  0.00  -19.53
265,0.68,-9.99  -22.50  -17.37
266,0.73,-25.28  -18.34  -11.17
267,0.50,-21.58  -20.06  -15.01
268,0.79,-15.27  0.00  -17.03
269,0.66,-14.86  -17.50  -17.42
270,0.68,-13.86  -13.88  -8.78
271,0.66,-11.63  -8.23  -6.79
272,0.70,-15.68  -10.21  -6.75
273,0.68,-8.96  -17.63  -17.83
274,0.72,-28.66  -27.71  0.00
275,0.63,-12.52  -10.07  -14.73
276,0.61,-11.98  -10.89  -9.13
277,0.56,-6.89  -23.69  0.00
278,0.53,-11.66  -5.96  -7.12
279,0.80,-29.02  0.00  0.00
280,0.65,0.00  -35.58  -10.21
281,0.70,-16.57  -14.70  -16.18
282,0.62,0.00  -16.83  -31.03
283,0.67,-13.40  -18.50  -28.93
284,0.67,-12.37  -9.12  -7.13
285,0.89,-33.27  -20.53  0.00
286,0.80,-10.86  -11.53  -10.47
287,0.63,0.00  -31.93  -15.17
288,0.76,-9.92  -27.45  0.00
289,0.65,-22.35  -15.30  0.00
290,0.57,-10.36  -10.93  -17.16
291,0.77,-8.74  -9.52  -9.46
292,0.56,0.00  -29.99  -18.09
293,0.78,-16.72  -8.55  0.00
294,0.53,-26.85  -26.34  0.00
295,0.64,-13.26  0.00  -13.37
296,0.48,-14.76  -12.16  -24.21
297,0.64,-14.40  -4.80  -7.85
298,0.59,-17.71  -33.67  0.00
299,0.55,-27.20  -14.13  -18.93
300,0.61,-18.21  -23.94  0.00
301,0.57,-17.27  -13.16  -27.28
302,0.60,-11.93  -8.17  -14.24
303,0.50,-8.61  -21.72  -9.09
304,0.76,-20.82  -11.51  -8.26
305,0.70,-8.73  -17.42  -10.25
306,0.74,-19.90  -11.21  -14.91
307,0.56,-10.46  -9.50  -14.41
308,0.55,-21.71  -15.08  -16.64
309,0.64,-8.13  -9.76  -6.21
310,0.87,-16.54  -30.03  -11.88
311,0.83,-18.30  -32.95  -14.99
312,0.90,-10.24  -9.35  -8.95
313,0.59,-15.29  -22.82  -10.20
314,0.87,-26.22  -12.96  -10.80
315,0.66,-7.16  -13.85  -9.60
316,0.62,-13.55  -20.04  -18.35
317,0.75,-26.73  -14.30  0.00
318,0.61,-10.53  -12.73  -20.00
319,0.57,-12.98  -17.40  -7.74
320,0.65,-7.37  -18.31  -12.85
321,0.62,-18.68  -23.14  0.00
322,0.64,-16.62  -7.07  -6.82
323,0.87,-13.13  -27.31  0.00
324,0.63,-12.42  -8.49  -10.64
325,0.63,-15.07  -17.05  0.00
326,0.83,-12.87  0.00  -11.21
327,0.57,-14.04  -6.72  -8.38
328,0.87,-10.50  -7.19  -24.23
329,0.81,-21.54  -16.57  -15.47
330,0.85,-10.16  -10.54  -8.18
331,0.59,-23.61  -11.57  0.00
332,0.72,-32.04  -24.64  -24.25
333,0.67,-25.20  -9.24  -11.77
334,0.69,-9.87  -5.70  -11.29
335,0.60,-11.02  -6.49  -9.88
336,0.72,-9.46  0.00  -16.71
337,0.75,-10.39  -6.56  -19.01
338,0.53,-9.91  -10.60  -9.10
339,0.51,-17.11  -4.91  -9.31
340,0.67,-9.57  -18.26  -11.17
341,0.83,-19.28  -12.31  -11.75
342,0.73,-30.77  -14.94  0.00
343,0.84,-23.94  -21.72  -13.29
344,0.50,-14.60  -11.68  -7.99
345,0.68,-28.63  -19.31  0.00
346,0.75,0.00  -18.27  -7.74
347,0.70,-19.23  -10.61  -11.76
348,0.72,-13.86  -17.90  -21.13
349,0.62,-10.96  -5.10  -10.57
350,0.71,-14.94  0.00  -13.53
351,0.85,-9.14  -23.61  -15.26
352,0.84,-19.99  -17.24  0.00
353,0.87,-6.98  -9.71  -15.39
354,0.63,0.00  -25.13  -7.45
355,0.65,0.00  -21.26  -11.56
356,0.68,-25.70  -15.98  -16.99
357,0.63,0.00  0.00  -33.83
358,0.71,-22.64  -27.04  -23.46
359,0.59,-20.34  -20.98  -16.80
360,0.52,-12.85  -10.36  -21.47
361,0.71,-17.25  0.00  -32.04
362,0.54,-14.13  -17.96  -20.76
363,0.66,-12.52  0.00  -31.74
364,0.77,-6.14  -13.52  -8.48
365,0.57,-18.99  0.00  -17.88
366,0.61,-11.66  -21.93  -12.65
367,0.68,-27.60  -6.11  0.00
368,0.57,0.00  -16.41  -18.13
369,0.61,-15.86  0.00  -14.01
370,0.80,-13.06  -10.08  -8.46
371,0.72,0.00  -16.09  -27.19
372,0.64,-23.26  0.00  -25.19
373,0.54,-24.97  -12.25  -13.25
374,0.61,-19.80  -25.62  -15.18
375,0.68,-16.98  0.00  -14.00
376,0.77,-10.34  -25.12  -12.93
377,0.74,-9.72  -13.52  -17.72
378,0.85,-9.91  -15.24  -10.28
379,0.55,-15.85  -14.68  -22.71
380,0.54,-12.00  -15.30  -7.13
381,0.77,-19.54  -16.61  -7.69
382,0.76,-16.29  -9.30  -22.36
383,0.65,-20.26  0.00  -22.24
384,0.63,-6.72  -10.58  -13.87
385,0.57,0.00  -31.41  -21.17
386,0.72,-10.74  -13.10  -23.59
387,0.68,-19.10  -19.48  -9.71
388,0.70,-25.94  0.00  -28.16
389,0.60,-23.57  -10.75  -13.15
390,0.55,-10.12  0.00  -26.95
391,0.66,-15.23  -14.90  -18.72
392,0.79,0.00  -16.29  -25.16
393,0.66,-7.12  -14.20  0.00
394,0.76,-14.03  -10.09  -10.34
395,0.89,-21.76  0.00  -14.59
396,0.72,-25.76  -17.98  -16.88
397,0.56,-13.17  -11.43  -11.85
398,0.75,-8.31  -9.10  -6.09
399,0.62,-13.87  0.00  -12.71
400,0.69,-26.08  0.00  -17.97
401,0.60,-15.94  -19.96  -16.90
402,0.86,-17.59  -13.17  -24.37
403,0.82,-14.20  0.00  -18.12
404,0.65,0.00  -8.67  -19.22
405,0.56,-11.33  -10.80  -13.60
406,0.55,-22.93  -20.59  -17.86
407,0.83,-26.37  -13.40  0.00
408,0.88,-12.44  -8.29  -16.48
409,0.61,-17.36  -21.33  -21.56
410,0.74,-7.67  0.00  -28.13
411,0.54,-10.08  -14.78  -26.92
412,0.79,-21.26  -14.95  -9.32
413,0.72,-11.83  -14.91  -7.13
414,0.53,-10.05  -16.29  -7.54
415,0.64,-18.32  -19.08  -27.56
416,0.73,-30.15  -21.17  0.00
417,0.75,-11.70  -17.53  -8.94
418,0.64,-23.97  -25.14  -21.36
419,0.54,-8.03  -16.89  -6.76
420,0.77,-10.81  -11.94  -7.52
421,0.56,-17.97  -20.10  -9.29
422,0.64,-9.91  -7.10  -20.93
423,0.67,-8.34  -9.32  -17.81
424,0.79,-10.26  0.00  -17.46
425,0.72,-10.28  -29.81  -17.63
426,0.84,-22.36  -7.37  -11.23
427,0.74,0.00  -14.89  -20.87
428,0.60,-5.25  -18.92  -11.68
429,0.59,-24.67  -14.24  -14.98
430,0.64,-11.12  -9.16  -21.33
431,0.53,-15.22  -28.08  -14.33
432,0.73,-16.88  -23.12  -12.10
433,0.48,-18.27  -19.62  -8.92
434,0.82,-12.16  -7.62  -16.63
435,0.88,0.00  -32.82  -12.04
436,0.69,-14.70  -13.17  0.00
437,0.89,-19.38  -21.48  -19.83
438,0.68,-34.53  -9.58  -14.51
439,0.51,-7.69  -10.69  -14.73
440,0.68,-25.70  -12.71  -12.91
441,0.56,0.00  -30.86  -18.40
442,0.76,-29.25  -19.53  -23.43
443,0.57,-9.75  -4.84  -11.39
444,0.60,-14.96  -7.83  -7.71
445,0.51,-24.27  0.00  -28.54
446,0.52,0.00  -19.56  -21.76
447,0.80,-12.50  0.00  -24.64
448,0.68,-8.25  -21.54  -10.82
449,0.70,-23.87  -10.38  -17.07
450,0.65,-24.06  -14.36  -17.76
451,0.65,-31.60  -18.90  0.00
452,0.54,-13.26  -13.79  -12.79
453,0.59,-10.86  -12.13  -15.46
454,0.63,-7.86  -16.27  -12.67
455,0.64,-11.21  -10.84  -7.33
456,0.54,-16.57  -11.09  -25.23
457,0.67,-21.42  -34.11  0.00
458,0.67,0.00  -16.05  -14.39
459,0.80,-20.72  -23.11  -10.83
460,0.91,-19.96  0.00  -10.19
461,0.55,-14.80  -17.16  -26.06
462,0.61,-13.19  0.00  -15.93
463,0.92,-20.98  0.00  -20.95
464,0.67,-6.35  -12.52  -7.05
465,0.76,-17.50  -19.51  -32.70
466,0.72,-19.19  0.00  -30.78
467,0.72,-16.35  -14.28  -11.54
468,0.71,0.00  -8.19  -15.21
469,0.77,-14.14  -12.02  -28.35
470,0.64,-9.91  -22.95  -14.55
471,0.72,-13.48  -23.61  -10.95
472,0.59,-13.37  0.00  -15.96
473,0.66,-14.40  -27.49  -18.74
474,0.76,0.00  -27.64  -30.21
475,0.74,-32.00  0.00  0.00
476,0.78,-9.47  -10.53  -22.03
477,0.71,-14.19  -25.55  -8.16
478,0.54,-17.46  -14.40  0.00
479,0.65,-16.62  -19.43  -11.44
480,0.68,-13.28  -7.58  -9.89
481,0.67,-6.95  -14.62  -6.27
482,0.68,-8.60  -4.60  -16.48
483,0.58,-10.51  -17.14  -12.67
484,0.81,0.00  -9.97  -12.62
485,0.65,-18.64  -22.09  -12.95
486,0.80,-21.15  -10.15  0.00
487,0.76,-16.70  -15.60  -16.57
488,0.83,-27.87  0.00  -26.16
489,0.77,-20.34  -12.71  -10.55
490,0.63,-19.41  -20.90  -21.94
491,0.85,-30.73  -22.01  0.00
492,0.59,-10.76  -27.17  -9.54
493,0.67,-17.89  -8.43  -21.92
494,0.63,-13.68  -27.36  0.00
495,0.57,-19.95  0.00  -21.27
496,0.83,-16.31  -13.95  -14.92
497,0.53,-17.47  -10.07  -9.45
498,0.78,-9.99  -18.79  0.00
499,0.86,-20.65  -18.52  0.00
500,0.64,-12.59  -8.85  -25.76
501,0.77,-11.69  -13.73  -11.22
502,0.55,-6.33  -14.12  -7.40
503,0.64,-15.08  0.00  -15.83
504,0.66,-23.93  -14.29  0.00
505,0.68,-6.78  -16.17  -11.13
506,0.68,0.00  -22.62  -23.80
507,0.73,-6.74  -16.70  -9.84
508,0.72,-13.94  -23.90  0.00
509,0.71,-11.17  -13.39  -6.70
510,0.61,-16.99  -11.08  -25.79
511,0.72,-4.48  -7.61  -12.44
512,0.64,-17.40  -23.45  0.00
513,0.63,-5.25  -5.42  -19.12
514,0.58,-11.39  -21.94  -15.69
515,0.67,-19.86  -8.61  -14.04
516,0.73,0.00  -16.28  -26.20
517,0.65,-20.78  -13.16  -12.49
518,0.61,-14.40  -14.47  -15.58
519,0.85,-11.65  -17.82  -17.51
520,0.79,-21.04  -23.59  -21.59
521,0.71,-23.28  -15.37  -7.97
522,0.71,-10.67  -15.97  -11.68
523,0.78,0.00  -26.77  -13.80
524,0.50,-26.10  -14.19  0.00
525,0.55,-24.36  -21.37  -35.13
526,0.65,-17.89  -21.72  -15.42
527,0.64,-11.16  -6.97  -21.73
528,0.54,-20.70  -11.03  -14.07
529,0.75,-29.59  0.00  -23.31
530,0.55,-12.02  -17.15  -14.60
531,0.66,-9.66  -7.11  -13.47
532,0.51,-18.57  -10.42  0.00
533,0.88,-22.51  -26.17  0.00
534,0.72,-21.97  -18.50  -23.62
535,0.77,-20.11  -25.76  0.00
536,0.54,-21.08  -16.09  -14.59
537,0.69,-12.47  -22.61  -20.77
538,0.63,-8.95  -15.44  -17.45
539,0.66,-15.58  -20.13  -11.06
540,0.89,-10.18  -16.51  -9.46
541,0.62,-7.97  -4.61  -9.10
542,0.59,-12.36  -20.75  -12.90
543,0.68,-11.00  -9.87  -15.25
544,0.93,-22.27  0.00  -12.79
545,0.83,-4.61  -4.07  -9.67
546,0.67,-20.54  -29.53  0.00
547,0.66,-17.41  -15.84  -14.95
548,0.57,-25.25  -12.04  -21.68
549,0.53,-13.71  -18.92  -8.29
550,0.63,-22.72  -8.65  -15.13
551,0.69,-5.80  -11.41  -17.66
552,0.73,-15.36  0.00  -16.11
553,0.72,-8.23  -15.43  -7.80
554,0.71,-12.94  -4.99  -7.50
555,0.54,-12.42  -9.21  -13.23
556,0.76,-19.21  -8.20  -12.49
557,0.60,-17.96  0.00  -16.12
558,0.65,0.00  -15.84  -26.22
559,0.66,-10.74  -13.81  -12.54
560,0.78,-11.06  -17.48  -14.05
561,0.53,-16.18  -16.60  -20.14
562,0.50,-18.74  -16.81  -9.60
563,0.60,-12.07  -31.55  0.00
564,0.61,-12.32  -21.17  -12.36
565,0.64,-18.01  -12.92  -17.56
566,0.63,-10.63  -10.51  -11.92
567,0.71,-20.83  -17.16  0.00
568,0.67,-32.30  -22.89  0.00
569,0.65,-11.47  -16.00  -21.11
570,0.91,-14.92  -13.24  -7.91
571,0.64,-19.46  -17.70  -9.62
572,0.68,-19.21  -10.13  -9.68
573,0.61,0.00  -13.75  -13.86
574,0.56,-21.13  -15.11  0.00
575,0.67,-10.94  -14.01  -7.60
576,0.59,-22.53  -14.63  -8.30
577,0.67,-16.91  -16.84  0.00
578,0.52,-7.62  -12.64  -16.99
579,0.54,-19.28  -13.39  -12.11
580,0.58,-17.42  -11.93  -10.01
581,0.68,-5.34  -5.75  -15.81
582,0.66,-35.22  -16.28  0.00
583,0.60,-12.59  -9.00  -14.37
584,0.75,0.00  -14.04  -14.51
585,0.77,-12.40  0.00  -29.15
586,0.56,-12.25  -9.33  -10.90
587,0.72,-7.47  -20.28  -11.99
588,0.72,-16.92  -12.55  -16.30
589,0.61,-12.43  -14.54  -15.69
590,0.88,0.00  -24.79  -15.88
591,0.73,-20.22  0.00  -29.40
592,0.74,-5.92  -17.39  -9.27
593,0.67,-12.14  -10.08  -7.04
594,0.86,-6.03  -9.38  -8.66
595,0.73,-11.26  -11.02  -20.35
596,0.85,-32.21  -19.74  0.00
597,0.54,-15.77  -15.78  -21.10
598,0.73,-20.60  0.00  -12.31
599,0.73,-16.51  -11.40  -9.03
600,0.67,-21.99  -7.00  -10.49
601,0.50,-6.47  -20.68  -9.42
602,0.73,-5.55  -10.84  -6.57
603,0.82,-24.15  -12.51  -19.05
604,0.67,-11.24  -10.10  -14.96
605,0.68,-12.98  -8.32  -10.30
606,0.52,-21.23  -12.05  -11.03
607,0.58,0.00  -28.77  -18.39
608,0.68,-15.25  -21.07  -9.29
609,0.63,-12.47  -5.70  -17.50
610,0.81,-6.57  -17.00  -6.59
611,0.54,-19.27  -11.29  -11.46
612,0.73,-8.03  -10.11  -15.93
613,0.51,-8.49  -16.63  -8.74
614,0.59,-15.64  0.00  -26.39
615,0.66,-14.33  0.00  -33.40
616,0.68,-15.92  -18.56  -15.64
617,0.70,-22.40  -10.69  -8.30
618,0.65,-26.54  -23.52  -12.99
619,0.81,-10.29  -18.70  -8.08
620,0.81,-5.90  0.00  -20.77
621,0.54,-9.70  -24.06  0.00
622,0.59,-10.51  -21.38  0.00
623,0.78,-22.05  0.00  -17.43
624,0.51,-5.48  -7.90  -10.36
625,0.65,-6.99  -16.91  0.00
626,0.56,-8.50  -17.01  -8.98
627,0.74,-19.52  -24.22  -22.51
628,0.52,-9.74  -10.24  -21.98
629,0.83,-15.86  0.00  -26.20
630,0.61,0.00  -9.71  -21.94
631,0.70,-20.87  0.00  -23.34
632,0.66,-26.09  -8.63  -20.83
633,0.64,-24.78  -24.84  0.00
634,0.70,-9.37  -28.11  -7.35
635,0.57,-7.73  -10.60  -18.48
636,0.68,-5.55  -12.91  -11.04
637,0.75,0.00  -24.29  -15.00
638,0.60,-19.70  -27.31  0.00
639,0.65,-17.41  -17.38  -22.76
640,0.67,-6.95  -8.07  -17.56
641,0.54,-18.47  -20.17  -11.13
642,0.77,-11.76  -19.32  -13.86
643,0.71,-17.30  -13.10  -11.76
644,0.67,-16.29  -21.80  -17.44
645,0.59,-15.61  -9.04  -9.73
646,0.74,-12.89  -19.28  -9.40
647,0.67,-16.30  -9.70  -18.66
648,0.57,-6.64  -9.18  -13.00
649,0.69,0.00  -17.12  -26.63
650,0.69,-19.33  -20.48  -25.62
651,0.79,-8.68  -13.70  -12.34
652,0.74,-17.36  0.00  -19.05
653,0.64,-10.38  -11.69  -8.47
654,0.65,-11.25  -8.55  -16.48
655,0.66,-16.32  -17.77  -10.10
656,0.86,-30.26  -19.96  -21.38
657,0.88,-15.15  -9.56  -25.81
658,0.67,-14.72  -17.07  0.00
659,0.69,-23.54  -18.96  -16.83
660,0.65,-21.36  -16.11  0.00
661,0.79,-7.48  -13.34  -24.36
662,0.50,-22.53  -9.07  0.00
663,0.73,-14.24  -11.93  -17.10
664,0.66,-22.81  -11.47  -11.27
665,0.67,-22.67  0.00  -22.81
666,0.79,-10.32  -15.02  -22.21
667,0.64,-14.06  -6.05  -7.69
668,0.58,-20.97  -13.91  0.00
669,0.58,-21.43  -14.78  0.00
670,0.77,-35.12  0.00  0.00
671,0.70,-8.58  -17.85  -11.33
672,0.79,-17.49  -9.11  -24.95
673,0.57,-20.24  -19.17  -19.29
674,0.77,-16.62  -6.20  -10.82
675,0.70,-9.61  -11.44  -14.17
