id,epsilon,q_table
264,0.80,-12.19  -7.51  -26.77
265,0.65,-27.95  -22.50  -25.68
266,0.53,-27.67  -31.07  -26.73
267,0.34,-24.42  -26.04  -26.38
268,0.71,-21.62  -14.93  -17.03
269,0.56,-23.50  -17.50  -29.24
270,0.51,-21.17  -18.50  -26.05
271,0.49,-17.55  -16.74  -15.23
272,0.53,-20.12  -10.21  -18.60
273,0.61,-33.85  -21.31  -17.83
274,0.52,-25.08  -27.71  -35.04
275,0.46,-26.42  -10.07  -23.53
276,0.48,-18.86  -15.14  -16.37
277,0.37,-6.89  -23.61  -22.14
278,0.40,-16.70  -11.91  -15.07
279,0.70,-27.44  -25.53  0.00
280,0.55,-25.59  -39.88  -25.95
281,0.60,-23.28  -25.76  -25.23
282,0.41,-25.91  -25.64  -31.03
283,0.45,-32.02  -36.50  -28.93
284,0.52,-18.88  -18.10  -14.03
285,0.82,-38.80  -23.22  -12.63
286,0.73,-13.16  -11.53  -25.72
287,0.52,-24.04  -27.62  -21.22
288,0.69,-16.49  -27.45  -21.61
289,0.43,-27.73  -26.45  -20.76
290,0.43,-20.48  -19.61  -17.98
291,0.62,-23.12  -20.19  -9.46
292,0.40,-32.19  -29.99  -26.90
293,0.65,-19.64  -13.92  -16.26
294,0.38,-28.93  -29.82  -28.38
295,0.53,-24.51  -16.39  -17.27
296,0.32,-22.37  -32.82  -33.43
297,0.53,-20.04  -4.80  -20.46
298,0.42,-27.86  -33.67  -20.94
299,0.42,-27.20  -27.75  -26.04
300,0.45,-26.11  -23.94  -27.24
301,0.43,-18.62  -27.47  -35.18
302,0.45,-22.80  -20.81  -25.16
303,0.34,-25.68  -21.72  -24.35
304,0.59,-23.69  -16.22  -21.21
305,0.52,-23.47  -20.69  -18.75
306,0.63,-26.24  -20.39  -31.65
307,0.37,-19.06  -23.07  -20.89
308,0.40,-21.71  -30.63  -24.09
309,0.48,-14.09  -14.89  -11.93
310,0.82,-27.64  -41.72  -11.88
311,0.71,-40.34  -33.79  -14.99
312,0.86,-10.24  -23.16  -15.92
313,0.48,-15.29  -25.37  -19.64
314,0.80,-24.19  -26.50  -21.40
315,0.52,-17.41  -16.61  -14.47
316,0.50,-34.66  -31.76  -20.75
317,0.62,-36.29  -27.96  0.00
318,0.50,-13.48  -12.73  -34.91
319,0.40,-17.67  -19.54  -19.15
320,0.46,-16.86  -21.25  -22.45
321,0.42,-31.32  -26.33  -13.64
322,0.45,-18.96  -15.84  -17.99
323,0.79,-23.50  -27.31  -29.36
324,0.49,-25.12  -15.20  -10.64
325,0.44,-23.72  -18.46  -16.08
326,0.79,-23.49  -10.41  -18.20
327,0.45,-14.04  -20.50  -16.20
328,0.79,-14.47  -14.87  -28.43
329,0.66,-21.16  -29.51  -26.96
330,0.79,-13.25  -21.77  -17.22
331,0.40,-28.99  -18.95  -23.49
332,0.68,-32.04  -40.21  -33.30
333,0.63,-25.20  -22.66  -24.23
334,0.55,-15.32  -19.98  -17.49
335,0.40,-13.35  -17.10  -15.75
336,0.60,-9.46  -19.46  -21.05
337,0.62,-27.15  -6.56  -22.61
338,0.36,-14.81  -15.34  -22.21
339,0.34,-21.23  -14.74  -16.46
340,0.59,-28.46  -18.26  -19.25
341,0.79,-25.25  -22.49  -19.50
342,0.62,-30.77  -23.23  -23.69
343,0.71,-39.50  -21.72  -29.52
344,0.35,-22.67  -11.68  -16.65
345,0.55,-33.12  -19.31  -28.57
346,0.67,-6.87  -23.08  -18.74
347,0.54,-20.04  -22.08  -24.62
348,0.66,-20.34  -27.49  -21.13
349,0.52,-17.26  -17.59  -18.53
350,0.65,-17.40  -13.46  -16.80
351,0.76,-21.70  -23.61  -33.41
352,0.78,-20.47  -34.30  0.00
353,0.79,-13.68  -15.66  -22.32
354,0.55,-20.29  -25.13  -15.32
355,0.49,-18.68  -21.26  -19.72
356,0.60,-32.56  -30.57  -26.50
357,0.41,-18.12  0.00  -36.57
358,0.58,-29.48  -40.30  -35.19
359,0.45,-29.98  -20.98  -35.80
360,0.39,-31.30  -27.45  -21.47
361,0.58,-28.17  -25.69  -27.42
362,0.39,-21.88  -27.73  -23.46
363,0.45,-23.92  -22.24  -31.74
364,0.71,-16.62  -18.05  -20.53
365,0.45,-18.99  -21.47  -27.30
366,0.45,-22.45  -21.46  -27.41
367,0.59,-27.60  -15.03  -20.58
368,0.45,-25.55  -23.66  -23.32
369,0.48,-19.39  -24.95  -14.01
370,0.70,-24.58  -12.36  -14.28
371,0.69,-11.33  -25.43  -33.96
372,0.43,-27.83  -25.38  -30.61
373,0.38,-31.97  -22.34  -29.07
374,0.44,-29.48  -26.41  -22.36
375,0.57,-16.98  -17.76  -18.59
376,0.66,-22.55  -29.71  -18.55
377,0.58,-24.53  -24.63  -22.26
378,0.79,-16.95  -24.42  -17.00
379,0.39,-23.78  -26.02  -22.71
380,0.39,-19.21  -24.43  -24.44
381,0.70,-24.15  -21.07  -24.00
382,0.60,-19.29  -25.65  -26.72
383,0.53,-20.26  -28.29  -24.98
384,0.43,-17.17  -19.76  -20.86
385,0.42,-21.65  -26.42  -31.38
386,0.57,-27.21  -26.07  -23.59
387,0.52,-27.65  -27.58  -16.57
388,0.64,-34.76  -15.35  -29.31
389,0.50,-23.57  -19.71  -31.88
390,0.36,-20.77  -19.82  -26.29
391,0.50,-20.26  -22.84  -27.69
392,0.74,-20.48  -16.29  -27.67
393,0.53,-15.26  -14.20  -13.76
394,0.69,-17.18  -16.92  -24.99
395,0.84,-23.57  -17.78  -16.31
396,0.60,-34.53  -17.98  -21.08
397,0.38,-22.46  -15.69  -18.92
398,0.69,-15.62  -17.64  -19.11
399,0.49,-19.97  -14.53  -21.79
400,0.65,-27.70  -15.20  -24.72
401,0.45,-25.62  -28.51  -22.75
402,0.75,-30.62  -23.03  -24.37
403,0.74,-16.82  -14.32  -27.67
404,0.57,-16.93  -20.13  -19.22
405,0.38,-16.92  -20.11  -21.54
406,0.39,-22.93  -27.45  -27.18
407,0.72,-30.04  -22.13  -19.79
408,0.82,-19.58  -24.91  -24.93
409,0.43,-27.99  -21.33  -31.61
410,0.57,-19.17  -9.11  -30.66
411,0.37,-20.08  -28.93  -35.11
412,0.65,-32.88  -18.19  -25.14
413,0.60,-18.25  -23.19  -21.22
414,0.37,-18.12  -19.41  -15.75
415,0.51,-29.66  -30.29  -26.50
416,0.62,-29.20  -21.17  -20.16
417,0.66,-11.70  -17.53  -26.61
418,0.57,-39.41  -27.03  -24.92
419,0.38,-21.47  -18.86  -13.31
420,0.64,-24.99  -21.74  -7.52
421,0.41,-22.91  -30.54  -22.90
422,0.42,-20.84  -22.69  -20.93
423,0.59,-13.59  -21.42  -17.81
424,0.69,-21.65  -13.07  -17.46
425,0.59,-10.28  -32.80  -30.19
426,0.76,-28.32  -22.29  -15.20
427,0.64,-23.21  -17.50  -30.40
428,0.41,-5.25  -28.39  -20.02
429,0.43,-25.32  -16.61  -18.08
430,0.53,-26.67  -22.88  -21.33
431,0.37,-32.66  -28.08  -25.02
432,0.63,-32.08  -27.23  -23.82
433,0.33,-26.93  -26.96  -31.53
434,0.74,-27.45  -21.55  -16.63
435,0.83,-15.27  -27.98  -24.01
436,0.52,-20.96  -14.89  -10.20
437,0.81,-32.14  -26.26  -29.64
438,0.47,-30.38  -9.58  -33.00
439,0.35,-16.86  -16.26  -25.30
440,0.47,-28.36  -21.49  -27.99
441,0.39,-28.93  -34.41  -18.40
442,0.62,-32.06  -25.50  -26.19
443,0.38,-13.30  -13.86  -17.77
444,0.48,-21.17  -15.71  -12.22
445,0.35,-24.27  -35.64  -30.70
446,0.35,-27.68  -27.22  -34.16
447,0.69,-12.50  -24.61  -24.64
448,0.59,-15.35  -21.54  -29.88
449,0.64,-33.65  -31.89  -25.51
450,0.56,-25.62  -28.50  -28.99
451,0.56,-29.12  -18.90  -31.34
452,0.36,-29.06  -16.29  -21.59
453,0.49,-18.87  -26.58  -23.01
454,0.49,-22.70  -16.27  -17.74
455,0.49,-14.00  -20.71  -13.35
456,0.38,-23.15  -29.59  -25.23
457,0.55,-27.96  -34.11  -36.63
458,0.52,-19.17  -25.71  -18.47
459,0.74,-31.07  -23.11  -26.03
460,0.84,-22.63  -10.27  -15.17
461,0.37,-22.00  -27.11  -35.96
462,0.43,-19.60  -17.48  -24.01
463,0.88,-34.12  -9.89  -24.08
464,0.51,-14.77  -25.93  -7.05
465,0.64,-26.65  -27.55  -31.34
466,0.58,-27.23  -28.92  -36.90
467,0.69,-30.75  -14.28  -21.05
468,0.59,-12.42  -13.40  -21.24
469,0.70,-24.55  -27.01  -28.36
470,0.58,-25.84  -25.58  -17.08
471,0.67,-24.11  -30.89  -18.06
472,0.40,-25.28  -12.88  -21.93
473,0.60,-29.85  -27.49  -31.13
474,0.64,-14.14  -38.79  -36.40
475,0.65,-35.00  -24.42  -17.53
476,0.62,-19.64  -18.94  -25.07
477,0.64,-22.02  -25.55  -16.63
478,0.40,-25.57  -25.09  -21.12
479,0.49,-22.05  -19.87  -18.73
480,0.59,-13.28  -16.55  -24.30
481,0.56,-6.95  -22.47  -16.81
482,0.63,-12.57  -18.68  -19.65
483,0.43,-17.36  -19.81  -16.74
484,0.72,-7.56  -19.04  -19.51
485,0.52,-30.94  -31.67  -12.95
486,0.76,-30.96  -22.88  -16.82
487,0.70,-16.70  -27.56  -20.33
488,0.77,-27.87  -34.95  -37.01
489,0.73,-28.24  -12.71  -22.26
490,0.47,-30.34  -33.52  -31.82
491,0.74,-36.16  -29.23  -27.38
492,0.39,-24.51  -27.17  -29.89
493,0.48,-22.61  -33.60  -21.92
494,0.47,-26.56  -32.62  -29.98
495,0.38,-19.95  -17.22  -27.15
496,0.76,-16.31  -26.03  -19.47
497,0.38,-21.01  -17.89  -18.60
498,0.68,-23.65  -23.18  0.00
499,0.78,-25.32  -24.94  -23.15
500,0.55,-12.59  -32.08  -24.57
501,0.68,-22.12  -17.88  -17.03
502,0.42,-14.01  -14.12  -17.03
503,0.53,-22.39  -14.09  -22.64
504,0.53,-23.93  -17.38  -19.36
505,0.49,-16.55  -18.58  -25.35
506,0.61,-23.91  -40.47  -23.80
507,0.56,-17.67  -16.70  -18.41
508,0.57,-23.94  -23.82  -21.11
509,0.58,-21.12  -18.27  -17.36
510,0.43,-27.50  -28.19  -24.34
511,0.55,-13.98  -11.59  -14.21
512,0.46,-23.49  -28.21  -19.49
513,0.43,-13.98  -21.45  -19.12
514,0.44,-23.60  -31.64  -26.16
515,0.55,-26.52  -18.64  -18.76
516,0.66,-31.80  -18.87  -26.20
517,0.44,-20.78  -26.32  -29.42
518,0.44,-25.59  -24.89  -23.21
519,0.80,-19.85  -24.06  -27.35
520,0.70,-33.14  -27.94  -26.45
521,0.55,-27.76  -22.98  -16.57
522,0.52,-22.27  -15.97  -25.31
523,0.66,0.00  -30.54  -23.50
524,0.34,-24.48  -19.51  -26.66
525,0.38,-28.72  -34.72  -35.13
526,0.49,-26.27  -31.52  -19.76
527,0.46,-22.05  -15.68  -31.77
528,0.41,-20.70  -26.13  -24.52
529,0.59,-34.50  -22.78  -33.29
530,0.40,-18.58  -17.15  -19.47
531,0.62,-12.81  -16.94  -19.97
532,0.37,-18.57  -22.80  -12.88
533,0.83,-26.73  -28.86  -29.40
534,0.54,-21.97  -22.06  -27.31
535,0.68,-32.38  -27.16  -12.60
536,0.39,-29.64  -23.33  -22.56
537,0.61,-27.44  -29.66  -36.68
538,0.42,-29.37  -19.68  -29.17
539,0.46,-26.63  -20.13  -29.11
540,0.83,-18.33  -21.12  -17.55
541,0.53,-14.91  -19.35  -11.70
542,0.42,-27.64  -31.74  -31.66
543,0.58,-18.77  -19.56  -18.81
544,0.87,-22.27  -23.38  -18.54
545,0.73,-11.33  -16.33  -17.49
546,0.50,-32.15  -29.53  -33.62
547,0.49,-24.24  -24.11  -23.69
548,0.41,-25.25  -31.54  -23.09
549,0.38,-22.14  -26.57  -19.93
550,0.50,-28.29  -25.75  -15.13
551,0.57,-16.87  -16.20  -20.27
552,0.55,-20.61  -24.09  -24.98
553,0.62,-13.66  -20.47  -19.87
554,0.58,-12.94  -21.85  -20.43
555,0.41,-19.34  -12.90  -18.57
556,0.69,-19.21  -18.33  -24.45
557,0.41,-27.53  -19.67  -23.79
558,0.50,-24.77  -25.87  -26.17
559,0.52,-20.63  -21.03  -27.10
560,0.71,-24.49  -26.75  -20.57
561,0.41,-30.21  -22.84  -32.06
562,0.35,-27.35  -21.28  -20.93
563,0.41,-22.37  -33.55  -18.85
564,0.51,-15.44  -26.33  -25.00
565,0.51,-18.01  -25.05  -22.44
566,0.48,-21.04  -23.98  -19.97
567,0.57,-24.63  -24.08  -11.93
568,0.60,-33.86  -30.15  -28.93
569,0.51,-37.42  -30.94  -26.94
570,0.86,-24.48  -17.32  -20.18
571,0.59,-29.32  -17.70  -22.68
572,0.49,-27.30  -22.27  -19.47
573,0.42,-12.14  -15.99  -19.27
574,0.38,-21.13  -25.43  -19.22
575,0.58,-18.37  -16.33  -19.53
576,0.40,-33.58  -14.63  -19.63
577,0.54,-20.93  -23.56  -20.21
578,0.37,-23.74  -18.94  -16.99
579,0.40,-20.15  -26.69  -16.24
580,0.46,-17.42  -24.83  -21.85
581,0.56,-19.26  -13.61  -18.10
582,0.47,-35.22  -26.45  -18.66
583,0.42,-16.90  -25.68  -23.64
584,0.57,-9.39  -19.32  -21.44
585,0.61,-21.17  -19.23  -29.15
586,0.45,-12.25  -22.39  -18.44
587,0.65,-17.86  -29.04  -11.99
588,0.64,-25.57  -26.93  -27.67
589,0.47,-23.03  -19.30  -24.93
590,0.84,0.00  -23.07  -26.44
591,0.63,-20.22  -33.01  -29.53
592,0.68,-14.78  -19.68  -13.48
593,0.50,-19.99  -18.42  -13.19
594,0.78,-13.06  -19.78  -11.38
595,0.63,-23.60  -26.18  -20.35
596,0.75,-34.29  -24.30  -12.47
597,0.38,-21.67  -27.97  -21.64
598,0.58,-20.60  -23.29  -18.53
599,0.64,-22.11  -23.48  -21.94
600,0.51,-21.99  -21.37  -14.24
601,0.35,-15.53  -20.68  -18.58
602,0.56,-14.09  -14.18  -14.65
603,0.71,-27.16  -31.45  -29.50
604,0.54,-21.85  -21.40  -18.46
605,0.52,-17.97  -8.32  -20.30
606,0.36,-29.54  -18.94  -22.94
607,0.45,-24.24  -28.77  -25.59
608,0.59,-22.52  -25.63  -15.82
609,0.46,-21.05  -17.12  -21.31
610,0.75,-10.39  -20.48  -13.01
611,0.37,-19.27  -19.98  -22.80
612,0.65,-18.26  -14.29  -18.33
613,0.35,-15.80  -24.69  -24.72
614,0.42,-26.44  -23.03  -26.39
615,0.48,-19.39  -28.90  -33.00
616,0.58,-24.33  -27.76  -27.79
617,0.67,-22.40  -27.24  -26.98
618,0.46,-26.54  -31.81  -30.09
619,0.69,-10.29  -27.70  -12.47
620,0.70,-9.89  -12.65  -23.49
621,0.38,-17.23  -24.06  -14.61
622,0.47,-19.41  -21.38  -21.39
623,0.69,-22.05  -18.53  -34.70
624,0.34,-16.63  -11.13  -16.48
625,0.58,-20.50  -24.67  -9.96
626,0.37,-21.42  -17.01  -17.81
627,0.67,-36.06  -22.80  -28.85
628,0.35,-23.58  -23.24  -21.98
629,0.77,-28.71  -14.31  -30.83
630,0.44,-15.28  -16.09  -21.83
631,0.50,-27.27  -32.58  -32.51
632,0.50,-30.93  -21.31  -20.94
633,0.51,-30.14  -24.84  -29.07
634,0.57,-19.06  -31.74  -25.96
635,0.46,-20.50  -14.40  -24.88
636,0.47,-25.17  -12.91  -11.04
637,0.60,-28.90  -24.29  -27.34
638,0.42,-34.28  -27.31  -23.29
639,0.53,-30.51  -27.20  -29.42
640,0.64,-22.10  -15.83  -25.45
641,0.37,-21.46  -26.09  -29.49
642,0.72,-29.58  -23.70  -13.86
643,0.55,-21.13  -21.98  -20.31
644,0.54,-38.24  -21.80  -21.12
645,0.47,-19.25  -15.67  -23.40
646,0.68,-16.44  -19.28  -25.34
647,0.51,-25.68  -25.90  -18.66
648,0.46,-13.31  -17.32  -22.67
649,0.52,-9.52  -19.93  -34.58
650,0.63,-22.91  -20.59  -30.06
651,0.74,-17.04  -16.94  -14.62
652,0.63,-26.61  -19.06  -22.67
653,0.50,-21.04  -19.11  -17.56
654,0.45,-15.14  -20.25  -19.11
655,0.60,-24.25  -26.34  -20.64
656,0.75,-30.26  -26.10  -25.55
657,0.82,-21.25  -18.75  -24.40
658,0.59,-16.97  -21.95  -15.96
659,0.51,-24.86  -26.49  -33.37
660,0.55,-25.67  -20.35  -14.61
661,0.71,-27.91  -24.37  -24.36
662,0.34,-22.53  -21.93  -16.76
663,0.57,-33.91  -19.97  -17.10
664,0.57,-22.81  -27.43  -22.32
665,0.59,-25.29  -25.72  -32.05
