--- Installing dependencies ---
Defaulting to user installation because normal site-packages is not writeable

[notice] A new release of pip is available: 24.2 -> 24.3.1
[notice] To update, run: pip install --upgrade pip
ERROR: Could not open requirements file: [Errno 2] No such file or directory: 'requirements.txt'
--- Running main.py ---
[I 2025-01-17 17:48:30,504] A new study created in memory with name: no-name-1bc773e1-d5eb-4dd9-a071-b2df2b467ceb
[I 2025-01-17 18:37:18,834] Trial 0 finished with value: -0.12385000288486481 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 0.5, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 0 with value: -0.12385000288486481.
[I 2025-01-18 05:39:05,036] Trial 11 finished with value: -0.12246249616146088 and parameters: {'lr': 0.0001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 06:16:14,721] Trial 12 finished with value: -0.1220458373427391 and parameters: {'lr': 0.0001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 06:53:14,896] Trial 13 finished with value: -0.12139582633972168 and parameters: {'lr': 0.0001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 07:32:34,420] Trial 14 finished with value: -0.12192916870117188 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 08:10:32,688] Trial 15 finished with value: -0.12192916870117188 and parameters: {'lr': 0.0001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 08:49:38,131] Trial 16 finished with value: -0.12137917429208755 and parameters: {'lr': 0.0001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 09:26:32,675] Trial 17 finished with value: -0.1254333257675171 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 10:05:43,551] Trial 18 finished with value: -0.12044999748468399 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 11:32:09,433] Trial 19 finished with value: -0.1510000079870224 and parameters: {'lr': 0.01, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 12:09:01,994] Trial 20 finished with value: -0.12244999408721924 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 12:46:06,460] Trial 21 finished with value: -0.12004583328962326 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 13:25:22,544] Trial 22 finished with value: -0.12441250681877136 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 14:02:28,263] Trial 23 finished with value: -0.12098750472068787 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 14:39:23,966] Trial 24 finished with value: -0.12271250039339066 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 15:18:37,265] Trial 25 finished with value: -0.12373332679271698 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 15:55:45,812] Trial 26 finished with value: -0.12315834313631058 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 16:32:48,009] Trial 27 finished with value: -0.12188749760389328 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 18:07:41,257] Trial 28 finished with value: -0.1418333351612091 and parameters: {'lr': 0.01, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 18:56:49,864] Trial 29 finished with value: -0.12549999356269836 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 19:33:41,143] Trial 30 finished with value: -0.1202000081539154 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 20:10:33,608] Trial 31 finished with value: -0.11984582990407944 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 20:49:37,337] Trial 32 finished with value: -0.12233751267194748 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 21:26:46,001] Trial 33 finished with value: -0.11995832622051239 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 22:16:10,599] Trial 34 finished with value: -0.12316667288541794 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 0.5, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 22:53:08,713] Trial 35 finished with value: -0.12475000321865082 and parameters: {'lr': 0.0001, 'gamma': 0.9, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-18 23:30:39,082] Trial 36 finished with value: -0.12279998511075974 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 0.5, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 01:13:41,360] Trial 37 finished with value: -0.13850000500679016 and parameters: {'lr': 0.01, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 02:00:09,248] Trial 38 finished with value: -0.12516666948795319 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 0.5, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 02:37:07,891] Trial 39 finished with value: -0.12269583344459534 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 04:19:42,826] Trial 40 finished with value: -0.14666667580604553 and parameters: {'lr': 0.01, 'gamma': 0.85, 'max_grad_norm': 0.5, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 04:56:28,731] Trial 41 finished with value: -0.12426666170358658 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 05:33:07,695] Trial 42 finished with value: -0.12372083961963654 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 06:09:47,414] Trial 43 finished with value: -0.1252874881029129 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 06:46:25,337] Trial 44 finished with value: -0.12217499315738678 and parameters: {'lr': 0.0001, 'gamma': 0.9, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 07:23:26,280] Trial 45 finished with value: -0.12628333270549774 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 08:15:48,046] Trial 46 finished with value: -0.12833333015441895 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 08:54:33,387] Trial 47 finished with value: -0.1194625049829483 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 09:31:07,971] Trial 48 finished with value: -0.12179583311080933 and parameters: {'lr': 0.0001, 'gamma': 0.9, 'max_grad_norm': 0.5, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 10:07:44,631] Trial 49 finished with value: -0.12362083792686462 and parameters: {'lr': 0.0001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 10:46:42,682] Trial 50 finished with value: -0.12102501094341278 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 11:25:26,062] Trial 51 finished with value: -0.1237916648387909 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 12:09:16,385] Trial 52 finished with value: -0.12495416402816772 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 12:47:58,042] Trial 53 finished with value: -0.1215749979019165 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 13:25:37,494] Trial 54 finished with value: -0.12416249513626099 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 14:02:27,546] Trial 55 finished with value: -0.12422499805688858 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 14:42:46,034] Trial 56 finished with value: -0.12160833925008774 and parameters: {'lr': 0.0001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 16:21:44,472] Trial 57 finished with value: -0.13066667318344116 and parameters: {'lr': 0.01, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 17:00:26,909] Trial 58 finished with value: -0.12474583089351654 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
[I 2025-01-19 17:37:09,068] Trial 59 finished with value: -0.12356249988079071 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.001}. Best is trial 4 with value: -0.11837500333786011.
