--- Installing dependencies ---
Defaulting to user installation because normal site-packages is not writeable

[notice] A new release of pip is available: 24.2 -> 24.3.1
[notice] To update, run: pip install --upgrade pip
ERROR: Could not open requirements file: [Errno 2] No such file or directory: 'requirements.txt'
--- Running main.py ---
[I 2024-12-13 16:32:09,147] A new study created in memory with name: no-name-68aff836-4ebb-46e8-b381-88ab2cddf8c3
[I 2024-12-13 16:38:04,828] Trial 0 finished with value: -0.10750000178813934 and parameters: {'lr': 0.01, 'gamma': 0.9, 'max_grad_norm': 0.5, 'tau': 0.001}. Best is trial 0 with value: -0.10750000178813934.
[I 2024-12-13 18:51:33,733] Trial 22 finished with value: -0.10633334517478943 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 18:57:31,524] Trial 23 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 19:03:26,913] Trial 24 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 19:09:21,706] Trial 25 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 19:15:15,126] Trial 26 finished with value: -0.09966666251420975 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 19:21:10,539] Trial 27 finished with value: -0.10633334517478943 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 19:27:05,580] Trial 28 finished with value: -0.10633334517478943 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.5, 'tau': 0.001}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 19:33:00,786] Trial 29 finished with value: -0.10056666284799576 and parameters: {'lr': 0.01, 'gamma': 0.9, 'max_grad_norm': 0.5, 'tau': 0.01}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 19:38:55,742] Trial 30 finished with value: -0.10373333841562271 and parameters: {'lr': 0.01, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.001}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 19:44:50,613] Trial 31 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 19:50:44,729] Trial 32 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 19:56:39,294] Trial 33 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 20:02:35,279] Trial 34 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 20:08:30,573] Trial 35 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 20:14:27,007] Trial 36 finished with value: -0.11316666007041931 and parameters: {'lr': 1e-05, 'gamma': 0.8, 'max_grad_norm': 0.5, 'tau': 0.001}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 20:20:24,051] Trial 37 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 20:26:21,141] Trial 38 finished with value: -0.11723332852125168 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 20:32:16,708] Trial 39 finished with value: -0.10030000656843185 and parameters: {'lr': 1e-05, 'gamma': 0.85, 'max_grad_norm': 0.5, 'tau': 0.01}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 20:38:13,656] Trial 40 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 20:44:11,308] Trial 41 finished with value: -0.0989999920129776 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 20:50:07,899] Trial 42 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 20:56:03,452] Trial 43 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 21:01:59,411] Trial 44 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 21:07:56,164] Trial 45 finished with value: -0.10608334094285965 and parameters: {'lr': 0.0001, 'gamma': 0.9, 'max_grad_norm': 1.5, 'tau': 0.01}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 21:13:51,805] Trial 46 finished with value: -0.10246667265892029 and parameters: {'lr': 0.001, 'gamma': 0.95, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 21:19:50,664] Trial 47 finished with value: -0.10633334517478943 and parameters: {'lr': 1e-05, 'gamma': 0.8, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 21:25:47,375] Trial 48 finished with value: -0.11083333194255829 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.001}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 21:31:43,797] Trial 49 finished with value: -0.09433333575725555 and parameters: {'lr': 0.01, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 21:37:39,183] Trial 50 finished with value: -0.10076667368412018 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 0.5, 'tau': 0.01}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 21:43:34,997] Trial 51 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 21:49:33,934] Trial 52 finished with value: -0.10300000756978989 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 21:55:32,438] Trial 53 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 22:01:28,179] Trial 54 finished with value: -0.10633334517478943 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 22:07:23,647] Trial 55 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 22:13:19,933] Trial 56 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 22:19:12,018] Trial 57 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 22:25:07,717] Trial 58 finished with value: -0.1127166599035263 and parameters: {'lr': 0.0001, 'gamma': 0.95, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 22:31:01,963] Trial 59 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 22:36:55,533] Trial 60 finished with value: -0.11393332481384277 and parameters: {'lr': 0.01, 'gamma': 0.85, 'max_grad_norm': 1.0, 'tau': 0.001}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 22:42:49,166] Trial 61 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 22:48:42,472] Trial 62 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 22:54:36,764] Trial 63 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 23:00:30,722] Trial 64 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 23:06:28,916] Trial 65 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 23:12:28,403] Trial 66 finished with value: -0.1054999977350235 and parameters: {'lr': 1e-05, 'gamma': 0.85, 'max_grad_norm': 1.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 23:18:25,390] Trial 67 finished with value: -0.10633334517478943 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 23:24:22,655] Trial 68 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.0, 'tau': 0.01}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 23:30:21,501] Trial 69 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 0.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 23:36:20,036] Trial 70 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 23:42:20,007] Trial 71 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 23:48:16,800] Trial 72 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-13 23:54:13,367] Trial 73 finished with value: -0.11083333194255829 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 00:00:08,829] Trial 74 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 00:06:03,774] Trial 75 finished with value: -0.10783333331346512 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 00:11:56,836] Trial 76 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.001}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 00:17:50,135] Trial 77 finished with value: -0.09433333575725555 and parameters: {'lr': 0.01, 'gamma': 0.95, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 00:23:42,757] Trial 78 finished with value: -0.1131666749715805 and parameters: {'lr': 1e-05, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 00:29:36,341] Trial 79 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 00:35:30,940] Trial 80 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'tau': 0.01}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 00:41:25,484] Trial 81 finished with value: -0.09433333575725555 and parameters: {'lr': 0.01, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 00:47:22,307] Trial 82 finished with value: -0.09433333575725555 and parameters: {'lr': 0.01, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 00:53:20,127] Trial 83 finished with value: -0.10783333331346512 and parameters: {'lr': 0.01, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 00:59:18,635] Trial 84 finished with value: -0.09433333575725555 and parameters: {'lr': 0.01, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 01:05:15,442] Trial 85 finished with value: -0.09433333575725555 and parameters: {'lr': 0.01, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 01:11:12,759] Trial 86 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 0.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 01:17:08,844] Trial 87 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 1.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 01:23:03,894] Trial 88 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 01:29:00,366] Trial 89 finished with value: -0.10783333331346512 and parameters: {'lr': 0.0001, 'gamma': 0.9, 'max_grad_norm': 2.0, 'tau': 0.001}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 01:34:55,898] Trial 90 finished with value: -0.0951666533946991 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 01:40:52,458] Trial 91 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 01:46:49,179] Trial 92 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 01:52:44,154] Trial 93 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 01:58:38,360] Trial 94 finished with value: -0.10766666382551193 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 02:04:33,652] Trial 95 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.95, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 02:10:29,181] Trial 96 finished with value: -0.09783332794904709 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 02:16:30,593] Trial 97 finished with value: -0.11316666752099991 and parameters: {'lr': 1e-05, 'gamma': 0.85, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 02:22:29,630] Trial 98 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.01}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 02:28:28,587] Trial 99 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 02:34:27,746] Trial 100 finished with value: -0.10783333331346512 and parameters: {'lr': 0.01, 'gamma': 0.85, 'max_grad_norm': 1.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 02:40:26,732] Trial 101 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 02:46:26,870] Trial 102 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 02:52:26,791] Trial 103 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 02:58:27,602] Trial 104 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 03:04:28,726] Trial 105 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 0.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 03:10:27,900] Trial 106 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 03:16:25,177] Trial 107 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 03:22:21,224] Trial 108 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.001}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 03:28:17,922] Trial 109 finished with value: -0.1112000048160553 and parameters: {'lr': 0.0001, 'gamma': 0.9, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 03:34:17,754] Trial 110 finished with value: -0.10633334517478943 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 03:40:15,830] Trial 111 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 03:46:13,157] Trial 112 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 03:52:07,613] Trial 113 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 03:58:04,686] Trial 114 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 04:04:01,962] Trial 115 finished with value: -0.10783333331346512 and parameters: {'lr': 0.001, 'gamma': 0.99, 'max_grad_norm': 1.5, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 04:09:57,406] Trial 116 finished with value: -0.1221500039100647 and parameters: {'lr': 0.01, 'gamma': 0.85, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 04:15:56,614] Trial 117 finished with value: -0.09433333575725555 and parameters: {'lr': 0.001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'tau': 0.01}. Best is trial 10 with value: -0.09433333575725555.
[I 2024-12-14 04:21:52,120] Trial 118 finished with value: -0.12016667425632477 and parameters: {'lr': 1e-05, 'gamma': 0.95, 'max_grad_norm': 2.0, 'tau': 0.1}. Best is trial 10 with value: -0.09433333575725555.
