--- Installing dependencies ---
Defaulting to user installation because normal site-packages is not writeable

[notice] A new release of pip is available: 24.2 -> 24.3.1
[notice] To update, run: pip install --upgrade pip
ERROR: Could not open requirements file: [Errno 2] No such file or directory: 'requirements.txt'
--- Running main.py ---
[I 2024-12-13 12:38:48,983] A new study created in memory with name: no-name-816a10d7-c2df-44a5-9bd5-616aaf255cb4
[I 2024-12-13 12:51:21,898] Trial 0 finished with value: -0.10858333855867386 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.1, 'entropy_coef': 0.0001}. Best is trial 0 with value: -0.10858333855867386.
[I 2024-12-13 21:43:49,829] Trial 43 finished with value: -0.11716665327548981 and parameters: {'lr': 0.01, 'gamma': 0.8, 'max_grad_norm': 0.5, 'lmbda': 0.9, 'clip_epsilon': 0.1, 'entropy_coef': 0.01}. Best is trial 42 with value: -0.10249999910593033.
[I 2024-12-13 21:56:42,894] Trial 44 finished with value: -0.11816666275262833 and parameters: {'lr': 0.01, 'gamma': 0.99, 'max_grad_norm': 0.5, 'lmbda': 0.9, 'clip_epsilon': 0.1, 'entropy_coef': 0.01}. Best is trial 42 with value: -0.10249999910593033.
[I 2024-12-13 22:09:02,760] Trial 45 finished with value: -0.11699999868869781 and parameters: {'lr': 0.0001, 'gamma': 0.7, 'max_grad_norm': 0.5, 'lmbda': 0.85, 'clip_epsilon': 0.1, 'entropy_coef': 0.01}. Best is trial 42 with value: -0.10249999910593033.
[I 2024-12-13 22:21:32,208] Trial 46 finished with value: -0.10823333263397217 and parameters: {'lr': 0.001, 'gamma': 0.8, 'max_grad_norm': 1.5, 'lmbda': 0.9, 'clip_epsilon': 0.3, 'entropy_coef': 0.0}. Best is trial 42 with value: -0.10249999910593033.
[I 2024-12-13 22:34:22,865] Trial 47 finished with value: -0.11083333939313889 and parameters: {'lr': 0.01, 'gamma': 0.6, 'max_grad_norm': 0.5, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.0001}. Best is trial 42 with value: -0.10249999910593033.
[I 2024-12-13 22:46:30,265] Trial 48 finished with value: -0.11649999767541885 and parameters: {'lr': 1e-07, 'gamma': 0.9, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.1, 'entropy_coef': 0.001}. Best is trial 42 with value: -0.10249999910593033.
[I 2024-12-13 22:58:46,667] Trial 49 finished with value: -0.1035500019788742 and parameters: {'lr': 0.0001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 0.85, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 42 with value: -0.10249999910593033.
[I 2024-12-13 23:10:57,740] Trial 50 finished with value: -0.10618333518505096 and parameters: {'lr': 1e-05, 'gamma': 0.95, 'max_grad_norm': 2.0, 'lmbda': 0.85, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 42 with value: -0.10249999910593033.
[I 2024-12-13 23:23:15,728] Trial 51 finished with value: -0.10949999839067459 and parameters: {'lr': 0.0001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 0.85, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 42 with value: -0.10249999910593033.
[I 2024-12-13 23:35:32,008] Trial 52 finished with value: -0.10753333568572998 and parameters: {'lr': 0.0001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 0.85, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 42 with value: -0.10249999910593033.
[I 2024-12-13 23:47:50,257] Trial 53 finished with value: -0.11063332855701447 and parameters: {'lr': 0.0001, 'gamma': 0.99, 'max_grad_norm': 1.0, 'lmbda': 0.85, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 42 with value: -0.10249999910593033.
[I 2024-12-14 00:00:08,241] Trial 54 finished with value: -0.10478333383798599 and parameters: {'lr': 0.0001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 42 with value: -0.10249999910593033.
[I 2024-12-14 00:12:18,090] Trial 55 finished with value: -0.112983338534832 and parameters: {'lr': 1e-06, 'gamma': 0.9, 'max_grad_norm': 1.0, 'lmbda': 0.85, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 42 with value: -0.10249999910593033.
[I 2024-12-14 00:24:26,898] Trial 56 finished with value: -0.10508333891630173 and parameters: {'lr': 1e-05, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 42 with value: -0.10249999910593033.
[I 2024-12-14 00:36:43,637] Trial 57 finished with value: -0.10646665841341019 and parameters: {'lr': 0.0001, 'gamma': 0.6, 'max_grad_norm': 1.5, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 42 with value: -0.10249999910593033.
[I 2024-12-14 00:48:55,806] Trial 58 finished with value: -0.10854999721050262 and parameters: {'lr': 1e-05, 'gamma': 0.9, 'max_grad_norm': 0.5, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 42 with value: -0.10249999910593033.
[I 2024-12-14 01:01:25,138] Trial 59 finished with value: -0.10456667095422745 and parameters: {'lr': 0.001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.3, 'entropy_coef': 0.01}. Best is trial 42 with value: -0.10249999910593033.
[I 2024-12-14 01:13:53,371] Trial 60 finished with value: -0.11155000329017639 and parameters: {'lr': 0.001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.3, 'entropy_coef': 0.01}. Best is trial 42 with value: -0.10249999910593033.
[I 2024-12-14 01:26:20,754] Trial 61 finished with value: -0.11054999381303787 and parameters: {'lr': 0.001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.3, 'entropy_coef': 0.01}. Best is trial 42 with value: -0.10249999910593033.
[I 2024-12-14 01:38:48,391] Trial 62 finished with value: -0.10066667199134827 and parameters: {'lr': 0.001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.3, 'entropy_coef': 0.01}. Best is trial 62 with value: -0.10066667199134827.
[I 2024-12-14 01:51:16,002] Trial 63 finished with value: -0.10943333804607391 and parameters: {'lr': 0.001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.3, 'entropy_coef': 0.01}. Best is trial 62 with value: -0.10066667199134827.
[I 2024-12-14 02:03:45,582] Trial 64 finished with value: -0.10534999519586563 and parameters: {'lr': 0.001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.3, 'entropy_coef': 0.01}. Best is trial 62 with value: -0.10066667199134827.
[I 2024-12-14 02:16:13,949] Trial 65 finished with value: -0.10636666417121887 and parameters: {'lr': 0.001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.3, 'entropy_coef': 0.01}. Best is trial 62 with value: -0.10066667199134827.
[I 2024-12-14 02:28:40,231] Trial 66 finished with value: -0.10534998774528503 and parameters: {'lr': 0.001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.3, 'entropy_coef': 0.01}. Best is trial 62 with value: -0.10066667199134827.
[I 2024-12-14 02:41:09,885] Trial 67 finished with value: -0.11073333770036697 and parameters: {'lr': 0.001, 'gamma': 0.7, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.3, 'entropy_coef': 0.01}. Best is trial 62 with value: -0.10066667199134827.
[I 2024-12-14 02:53:22,557] Trial 68 finished with value: -0.10938332974910736 and parameters: {'lr': 1e-05, 'gamma': 0.8, 'max_grad_norm': 1.5, 'lmbda': 1.0, 'clip_epsilon': 0.3, 'entropy_coef': 0.0001}. Best is trial 62 with value: -0.10066667199134827.
[I 2024-12-14 03:05:34,209] Trial 69 finished with value: -0.1087999939918518 and parameters: {'lr': 1e-05, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 0.85, 'clip_epsilon': 0.3, 'entropy_coef': 0.01}. Best is trial 62 with value: -0.10066667199134827.
[I 2024-12-14 03:18:06,481] Trial 70 finished with value: -0.10703333467245102 and parameters: {'lr': 0.001, 'gamma': 0.9, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.1, 'entropy_coef': 0.001}. Best is trial 62 with value: -0.10066667199134827.
[I 2024-12-14 03:30:24,775] Trial 71 finished with value: -0.10604999959468842 and parameters: {'lr': 0.0001, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 62 with value: -0.10066667199134827.
[I 2024-12-14 03:43:10,236] Trial 72 finished with value: -0.09833334386348724 and parameters: {'lr': 0.01, 'gamma': 0.75, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 72 with value: -0.09833334386348724.
[I 2024-12-14 03:55:57,288] Trial 73 finished with value: -0.10999999940395355 and parameters: {'lr': 0.01, 'gamma': 0.75, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 72 with value: -0.09833334386348724.
[I 2024-12-14 04:08:40,594] Trial 74 finished with value: -0.11349999904632568 and parameters: {'lr': 0.01, 'gamma': 0.75, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 72 with value: -0.09833334386348724.
[I 2024-12-14 04:21:30,941] Trial 75 finished with value: -0.12099999934434891 and parameters: {'lr': 0.01, 'gamma': 0.75, 'max_grad_norm': 2.0, 'lmbda': 0.9, 'clip_epsilon': 0.3, 'entropy_coef': 0.01}. Best is trial 72 with value: -0.09833334386348724.
[I 2024-12-14 04:34:18,938] Trial 76 finished with value: -0.11866665631532669 and parameters: {'lr': 0.01, 'gamma': 0.75, 'max_grad_norm': 0.5, 'lmbda': 1.0, 'clip_epsilon': 0.1, 'entropy_coef': 0.0}. Best is trial 72 with value: -0.09833334386348724.
[I 2024-12-14 04:46:28,004] Trial 77 finished with value: -0.10618333518505096 and parameters: {'lr': 1e-05, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.01}. Best is trial 72 with value: -0.09833334386348724.
[I 2024-12-14 04:58:33,726] Trial 78 finished with value: -0.11381666362285614 and parameters: {'lr': 1e-07, 'gamma': 0.9, 'max_grad_norm': 1.0, 'lmbda': 0.95, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 72 with value: -0.09833334386348724.
[I 2024-12-14 05:11:22,621] Trial 79 finished with value: -0.1080000028014183 and parameters: {'lr': 0.01, 'gamma': 0.99, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0001}. Best is trial 72 with value: -0.09833334386348724.
[I 2024-12-14 05:23:28,877] Trial 80 finished with value: -0.11360000818967819 and parameters: {'lr': 1e-06, 'gamma': 0.8, 'max_grad_norm': 0.5, 'lmbda': 0.9, 'clip_epsilon': 0.1, 'entropy_coef': 0.01}. Best is trial 72 with value: -0.09833334386348724.
[I 2024-12-14 05:35:41,161] Trial 81 finished with value: -0.10868333280086517 and parameters: {'lr': 1e-05, 'gamma': 0.85, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 72 with value: -0.09833334386348724.
[I 2024-12-14 05:47:58,899] Trial 82 finished with value: -0.10376667231321335 and parameters: {'lr': 0.0001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 72 with value: -0.09833334386348724.
[I 2024-12-14 06:00:15,216] Trial 83 finished with value: -0.10338334739208221 and parameters: {'lr': 0.0001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 72 with value: -0.09833334386348724.
[I 2024-12-14 06:12:32,569] Trial 84 finished with value: -0.10553333163261414 and parameters: {'lr': 0.0001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 72 with value: -0.09833334386348724.
[I 2024-12-14 06:24:51,285] Trial 85 finished with value: -0.10375001281499863 and parameters: {'lr': 0.0001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 72 with value: -0.09833334386348724.
[I 2024-12-14 06:37:10,044] Trial 86 finished with value: -0.10908331722021103 and parameters: {'lr': 0.0001, 'gamma': 0.95, 'max_grad_norm': 1.0, 'lmbda': 0.85, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 72 with value: -0.09833334386348724.
[I 2024-12-14 06:49:31,069] Trial 87 finished with value: -0.10493333637714386 and parameters: {'lr': 0.0001, 'gamma': 0.9, 'max_grad_norm': 1.0, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 72 with value: -0.09833334386348724.
[I 2024-12-14 07:01:44,274] Trial 88 finished with value: -0.11396666616201401 and parameters: {'lr': 1e-05, 'gamma': 0.6, 'max_grad_norm': 1.5, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 72 with value: -0.09833334386348724.
[I 2024-12-14 07:14:01,992] Trial 89 finished with value: -0.11161667108535767 and parameters: {'lr': 0.0001, 'gamma': 0.7, 'max_grad_norm': 2.0, 'lmbda': 0.9, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 72 with value: -0.09833334386348724.
[I 2024-12-14 07:26:49,593] Trial 90 finished with value: -0.10133333504199982 and parameters: {'lr': 0.01, 'gamma': 0.8, 'max_grad_norm': 0.5, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 72 with value: -0.09833334386348724.
[I 2024-12-14 07:39:36,818] Trial 91 finished with value: -0.11516667157411575 and parameters: {'lr': 0.01, 'gamma': 0.8, 'max_grad_norm': 0.5, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 72 with value: -0.09833334386348724.
[I 2024-12-14 07:52:20,759] Trial 92 finished with value: -0.10166667401790619 and parameters: {'lr': 0.01, 'gamma': 0.8, 'max_grad_norm': 0.5, 'lmbda': 1.0, 'clip_epsilon': 0.2, 'entropy_coef': 0.0}. Best is trial 72 with value: -0.09833334386348724.
